slug,name,symbol,category,tvl,chains
bitget,Bitget,-,CEX,7119296992.985375,Bitcoin;Ethereum;Binance;Tron;Solana;Ripple;Polygon;Cardano;Arbitrum;TON;Avalanche;Base;Cronos;Optimism;Sui;Sonic;Starknet;Klaytn;Metis;zkSync Era;Fantom;Kava;Hyperliquid L1
gate,Gate,GT,CEX,6650118603.283838,Ethereum;Bitcoin;Solana;Tron;Doge;Binance;Ripple;Base;Litecoin;Optimism;EthereumClassic;Sui;Arbitrum;Cardano;Manta;Klaytn;Linea;Avalanche;Arbitrum Nova;XDC;zkSync Era;Aptos;Cronos;Sei;X Layer;Mantle;Flare;Ergo;Polygon;VeChain;EOS;Algorand;Alephium;Celestia;WEMIX;Celo;Injective;Metis;CORE;Chiliz;dYdX;Stacks;Cosmos;Theta;Starknet;Terra;LUKSO;Bahamut;Harmony;Vana;XPLA;Moonriver;Moonbeam;Astar;IoTeX;Shibarium;Radix;Bitkub;Agoric;Elrond;Etherlink;Neutron;Fuse;Osmosis;ThunderCore;Dymension;Aura Network;ZetaChain;ApeChain;Ronin;Oasys;Neon;Acala;REI;Tezos;Merlin;Umee;BandChain;Mode;Boba;Bitlayer;Blast;Matchain;RSK;Zircuit;Bifrost;Meter;zkLink;Aurora;Taiko;Scroll;Op_Bnb;Bittorrent;Fantom;Polygon zkEVM;ENULS;BSquared;EnergyWeb;AirDAO;EOS EVM;Kroma;Fuel;HAQQ;Naka;OKExChain;HPB;Tenet;GoChain;Songbird;TomoChain;Polkadot;Kardia
ethena-usde,Ethena USDe,ENA,Basis Trading,6299681727.931337,Ethereum
htx,HTX,-,CEX,6278231941.125342,Tron;Ethereum;Bitcoin;Ripple;Doge;Solana;Binance;Cardano;TON;Litecoin;Avalanche;Arbitrum;Polygon;Optimism;Sui;CORE;EOS;Starknet;Algorand
binance-bitcoin,Binance Bitcoin,-,Bridge,6130807409.947475,Bitcoin
coinbase-bridge,Coinbase Bridge,-,Bridge,6094620687.242567,Bitcoin;Ripple;Doge;Cardano;Litecoin
morpho-v1,Morpho V1,MORPHO,Lending,6071297272.202733,Ethereum;Base;Hyperliquid L1;Katana;Arbitrum;Monad;World Chain;Optimism;Unichain;Polygon;Plume Mainnet;Lisk;Sei;Botanix;Soneium;Hemi;Etherlink;TAC;Corn;Scroll;Stable;Fraxtal;Sonic;Binance;Ink;Abstract;xDai;Zircuit;Bitlayer;Mode
sky-lending,Sky Lending,SKY,CDP,5808986613.605306,Ethereum
babylon-protocol,Babylon Protocol,BABY,Restaking,5483410669.753413,Bitcoin
mexc,MEXC,-,CEX,4822331146.189673,Ethereum;Bitcoin;Solana;Ripple;Tron;Binance;Arbitrum;Avalanche;Aptos;Optimism;TON;Polygon;Klaytn;Base;Starknet
usdt0,USDT0,-,Bridge,4475173923.039608,Ethereum
arbitrum-bridge,Arbitrum Bridge,ARB,Canonical Bridge,4204534019.1039915,Ethereum
deribit,Deribit,-,CEX,4045729811.3000402,Bitcoin;Ethereum;Solana;Ripple;EthereumPoW;Binance
hyperliquid-bridge,Hyperliquid Bridge,HYPE,Bridge,4020513393.4729295,Arbitrum
kucoin,KuCoin,-,CEX,3877723394.9167347,Ethereum;Bitcoin;Solana;Ripple;Doge;Binance;Tron;Cardano;Avalanche;Near;TON;Optimism;Polygon;Kucoin;Aptos;Arbitrum;Base;EOS;Algorand;Kava;Starknet;Sui;Polkadot
justlend,JustLend,JST,Lending,3805153754.704523,Tron
pendle,Pendle,PENDLE,Yield,3718497407.7133813,Ethereum;Plasma;Arbitrum;Binance;Hyperliquid L1;Base;Sonic;Berachain;Mantle;Avalanche;Optimism
sparklend,SparkLend,SPK,Lending,3501248384.264424,Ethereum;xDai
base-bridge,Base Bridge,-,Canonical Bridge,3406946670.387518,Ethereum
maple,Maple,SYRUP,Lending,3134180258.2332397,Ethereum;Solana
justcryptos,JustCryptos,JST,Bridge,3098377790.0,Tron
crypto-com,Crypto-com,-,CEX,3098260421.5628643,Bitcoin;Ethereum;Binance;Polygon;Avalanche;Arbitrum;Fantom;Optimism
tether-gold,Tether Gold,XAUt,RWA,2266958519.029269,Ethereum;Plasma;Avalanche;Monad;Arbitrum;Celo;Polygon;Ink
kamino-lend,Kamino Lend,KMNO,Lending,2211397616.2804337,Solana
uniswap-v3,Uniswap V3,UNI,Dexs,2199230946.534882,Ethereum;Arbitrum;Base;Binance;Polygon;BOB;Plasma;xDai;Optimism;RSK;Celo;Saga;Nibiru;Avalanche;Monad;World Chain;Etherlink;XDC;zkSync Era;Unichain;Filecoin;Boba;Goat;Corn;Lens;Telos;Sonic;Mantle;Redbelly;Sei;Hemi;LightLink;Scroll;Linea;Blast;Taiko;Lisk;Moonbeam;Polygon zkEVM;Manta
polygon-bridge-&-staking,Polygon Bridge & Staking,POL,Chain,2189362114.033971,Polygon
spark-savings,Spark Savings,SPK,Yield,2133945530.3199906,Ethereum;Avalanche;Optimism;Arbitrum;Base;Unichain
curve-dex,Curve DEX,CRV,Dexs,2092727661.8327456,Ethereum;Arbitrum;Monad;Fraxtal;Base;Etherlink;Polygon;X Layer;xDai;Plasma;Avalanche;Sonic;Optimism;XDC;TAC;Binance;Hyperliquid L1;Kava;Unichain;Corn;Plume Mainnet;Taiko;Celo;Aurora;Moonbeam;Fantom;Ink;Stable;Mantle;Harmony
falcon-finance,Falcon Finance,-,Basis Trading,2051263847.6146655,Ethereum
spark-liquidity-layer,Spark Liquidity Layer,SPK,Onchain Capital Allocator,2042182140.6621323,Ethereum;Base;Unichain;Arbitrum;Optimism;Avalanche
blackrock-buidl,BlackRock BUIDL,BUIDL,RWA,2005180037.0604491,Aptos;Binance;Ethereum;Solana;Avalanche;Arbitrum;Optimism;Polygon
jito-liquid-staking,Jito Liquid Staking,JTO,Liquid Staking,1880229785.9574,Solana
obol,Obol,OBOL,Staking Pool,1857913609.7399826,Ethereum
pancakeswap-amm,PancakeSwap AMM,CAKE,Dexs,1840316932.3080418,Binance;Op_Bnb;Ethereum;Aptos;zkSync Era;Base;Arbitrum;Linea;Polygon zkEVM;Monad
rocket-pool,Rocket Pool,RPL,Liquid Staking,1829292165.1380453,Ethereum
veda,Veda,-,Onchain Capital Allocator,1803702752.2112117,Ethereum;Plasma;Scroll;Hyperliquid L1;Sonic;Base;Arbitrum;Berachain;Binance;BOB
bitstamp,Bitstamp,-,CEX,1746293029.2778275,Ethereum;Bitcoin;Ripple;Solana;Litecoin;Avalanche;Near;Cardano;XDC;Sui
doublezero-staked-sol,DoubleZero Staked SOL,2Z,Liquid Staking,1740225377.1549428,Solana
hashkey-exchange,HashKey Exchange,-,CEX,1704698413.0304093,Bitcoin;Ethereum;Solana;Tron;Doge;Avalanche;TON;Litecoin;Optimism;Aptos;Polygon;Arbitrum;Polkadot
compound-v3,Compound V3,COMP,Lending,1675101031.5527735,Ethereum;Arbitrum;Base;Optimism;Polygon;Mantle;Unichain;Ronin;Scroll
portal,Portal,W,Bridge,1670510796.846037,Ethereum;Solana;Binance;Near;Polygon;Terra;Avalanche;Arbitrum;Sui;Aptos;Moonbeam;Fantom;Base;Algorand;Klaytn;Celo;Oasis;Optimism;Aurora;Injective;Terra2;XPLA;Karura;Acala
venus-core-pool,Venus Core Pool,XVS,Lending,1619718787.3796597,Binance;Ethereum;Arbitrum;zkSync Era;Unichain;Base;Optimism;Op_Bnb
bitkub,Bitkub,KUB,CEX,1617331308.5884738,Bitcoin;Ethereum;Ripple;Binance;Solana;Cardano;Doge;Arbitrum;Optimism;Avalanche;Tron;Polygon;Base;Algorand;Scroll;Aptos;zkSync Era;Mantle;Litecoin;CORE;TON;Fantom
paxos-gold,Paxos Gold,PAXG,RWA,1615514961.5229793,Ethereum
fluid-lending,Fluid Lending,-,Lending,1577223983.947681,Ethereum;Plasma;Arbitrum;Base;Polygon
sanctum-validator-lsts,Sanctum Validator LSTs,CLOUD,Liquid Staking,1549613323.6886537,Solana
steakhouse-financial,Steakhouse Financial,-,Risk Curators,1530028176.947447,Ethereum;Base;Arbitrum;Corn;Katana;Unichain;Polygon;Monad
circle-usyc,Circle USYC,-,RWA,1523327550.0500867,Binance;Ethereum;Near;Noble
bitmex,Bitmex,BMEX,CEX,1500299924.6984816,Bitcoin;Ethereum;Tron;Solana;Binance;Ripple
ondo-yield-assets,Ondo Yield Assets,ONDO,RWA,1493883810.457891,Ethereum;Solana;Ripple;Mantle;Sui;Noble;Arbitrum;Aptos;Stellar;Polygon
raydium-amm,Raydium AMM,RAY,Dexs,1483586017.037039,Solana
binance-staked-sol,Binance Staked SOL,-,Liquid Staking,1390257684.2011147,Solana
centrifuge-protocol,Centrifuge Protocol,CFG,RWA,1345793413.4723659,Ethereum;Avalanche;Plume Mainnet;Base;Arbitrum;Binance
uniswap-v2,Uniswap V2,UNI,Dexs,1297002001.201099,Ethereum;Base;Arbitrum;Polygon;Optimism;Binance;Unichain;Monad;Avalanche;Zora;Celo
meteora-dlmm,Meteora DLMM,MET,Dexs,1283813904.8483655,Solana
lighter-bridge,Lighter Bridge,-,Bridge,1280470225.6770604,Ethereum;Arbitrum
jupiter-staked-sol,Jupiter Staked SOL,JUP,Liquid Staking,1238296581.659166,Solana
gauntlet,Gauntlet,-,Risk Curators,1219561702.863748,Ethereum;Base;Katana;Arbitrum;Solana;Unichain;Polygon;Hyperliquid L1
swissborg,SwissBorg,BORG,CEX,1183472201.6291504,Ethereum;Bitcoin;Solana;Ripple;Binance;Cardano;Hedera;Avalanche;Doge;Near;Tron;Polygon;Cosmos;Injective;Stellar;TON;Arbitrum;Optimism;Sei;Algorand;Celestia;Moonbeam;Sonic;Berachain;Osmosis;xDai;Chiliz;Polkadot
kelp,Kelp,-,Liquid Restaking,1155806863.1023722,Ethereum;Arbitrum;Base;Zircuit;Scroll;Swellchain;zkSync Era;Blast;Mode;Optimism;Hemi;Linea;Sonic;Berachain;Manta;X Layer
jupiter-perpetual-exchange,Jupiter Perpetual Exchange,JUP,Derivatives,1150559557.1341636,Solana
stakewise-v2,StakeWise V2,SWISE,Liquid Staking,1142484230.2417703,Ethereum;xDai
tornado-cash,Tornado Cash,TORN,Privacy,1073135399.1933801,Ethereum;Binance;Arbitrum;Avalanche;Polygon;xDai;EthereumClassic;Optimism
jupiter-lend,Jupiter Lend,JUP,Lending,1070320527.6541725,Solana
lista-liquid-staking,Lista Liquid Staking,LISTA,Liquid Staking,1028205639.503948,Binance
concrete,Concrete,-,Onchain Capital Allocator,1009579016.78881,Ethereum;Berachain;Stable;Arbitrum;Katana
euler-v2,Euler V2,EUL,Lending,1008356056.4259307,Ethereum;Plasma;Avalanche;Arbitrum;Monad;Base;BOB;Linea;Unichain;Swellchain;Binance;Berachain;Sonic;TAC;Mantle
function-fbtc,Function FBTC,-,Bridge,995457357.5357997,Bitcoin
solvbtc,SolvBTC,SOLV,Bridge,994225289.9232421,Bitcoin;Binance;Ethereum;Solana;Base;Avalanche;Arbitrum;Mantle;Polygon;Merlin;BOB
lombard-lbtc,Lombard LBTC,-,Restaked BTC,974545902.362702,Bitcoin;Ethereum
convex-finance,Convex Finance,CVX,Yield,950550676.2329981,Ethereum;Fraxtal;Arbitrum;Polygon
liquid-collective,Liquid Collective,-,Liquid Staking,895530564.8839391,Ethereum
m0,M0,POWER,Stablecoin Issuer,879101381.3363937,Ethereum
ethena-usdtb,Ethena USDtb,ENA,RWA,844302964.8228076,Ethereum
korbit,Korbit,-,CEX,837260348.4381232,Bitcoin;Ripple;Ethereum
wisdomtree,WisdomTree,-,RWA,735311248.5162305,Ethereum;Stellar
lista-lending,Lista Lending,LISTA,Lending,731744567.8348068,Binance;Ethereum
spiko,Spiko,-,RWA,725636798.054752,Arbitrum;Stellar;Polygon;Ethereum;Base;Starknet;Etherlink
meth-protocol,mETH Protocol,COOK,Liquid Staking,720521972.1458447,Ethereum
linea-bridge,Linea Bridge,-,Canonical Bridge,719826831.467356,Ethereum
aster-bridge,Aster Bridge,-,Bridge,714617229.6105334,Binance;Ethereum;Arbitrum;Solana;Scroll
starknet-bridge,Starknet Bridge,STRK,Canonical Bridge,712087754.6125412,Ethereum
bingx,BingX,-,CEX,691818999.2473148,Tron;Bitcoin;Binance;Ethereum;Solana;Ripple;TON;Arbitrum
usd-ai,USD AI,-,RWA Lending,687131447.3023493,Arbitrum
uniswap-v4,Uniswap V4,UNI,Dexs,682107197.0540628,Ethereum;Arbitrum;Unichain;Monad;Base;Binance;Polygon;Soneium;Optimism;World Chain;Avalanche;Blast;Zora;Ink
ether.fi-liquid,ether.fi Liquid,ETHFI,Onchain Capital Allocator,677993260.4291868,Ethereum
lista-cdp,Lista CDP,LISTA,CDP,677348424.6144757,Binance
renzo,Renzo,REZ,Liquid Restaking,655517540.5528857,Ethereum;Arbitrum;Linea;Solana;Zircuit;Mode;Base;Optimism;Blast;Binance;Fraxtal;Sei
optimism-bridge,Optimism Bridge,OP,Canonical Bridge,648191799.4934572,Ethereum;Base;PGN
sentora,Sentora,-,Risk Curators,587793954.5070817,Ethereum
lorenzo-enzobtc,Lorenzo enzoBTC,-,Bridge,584957160.3843069,Bitcoin
kinetiq-khype,Kinetiq kHYPE,-,Liquid Staking,584083953.3506318,Hyperliquid L1
figure-markets-exchange,Figure Markets Exchange,-,OTC Marketplace,575700889.1663808,Provenance
superstate-ustb,Superstate USTB,-,RWA,573821704.8179042,Ethereum;Plume Mainnet;Solana
merlins-seal,Merlins Seal,-,Bridge,571274538.1229056,Bitcoin;Arbitrum;Ethereum;Zkfair
indodax,Indodax,-,CEX,565822137.7521534,Bitcoin;Ethereum;Solana;Binance;Cardano;Polygon;Tron;Litecoin;Stellar;Base;Optimism;Arbitrum;Avalanche;Algorand;Sui;EOS;Linea
symbiotic,Symbiotic,-,Restaking,565618218.7652495,Ethereum
free-protocol,Free Protocol,-,Bridge,551811515.835739,Merlin;Ethereum;Binance;Arbitrum;Hemi;Manta;Kroma;Polygon
stader,Stader,SD,Liquid Staking,542189383.1423585,Ethereum;Hedera;Binance;Fantom;Terra2;Near
tbtc,tBTC,T,Decentralized BTC,541476713.0971974,Bitcoin;Ethereum
avalanche-core-bridge,Avalanche Core Bridge,AVAX,Canonical Bridge,535826278.1257086,Bitcoin;Ethereum
nexus-btc,Nexus BTC,-,Bridge,525621587.4017037,Bitcoin
cian-yield-layer,CIAN Yield Layer,-,Yield Aggregator,522763539.94243747,Ethereum;Mantle;Arbitrum;Optimism;Base;Binance;Scroll
usdd,USDD,-,CDP,499958320.58527553,Ethereum;Tron;Binance
avalon-usda,Avalon USDa,-,CDP,497128956.9943386,Binance;Ethereum;Klaytn;Berachain;Sonic;Mantle
pancakeswap-amm-v3,PancakeSwap AMM V3,CAKE,Dexs,496639523.7032441,Binance;Solana;Base;Ethereum;Arbitrum;Monad;zkSync Era;Linea;Polygon zkEVM;Op_Bnb
unit,Unit,-,Bridge,490520291.72130513,Bitcoin;Ethereum;Solana;Plasma;Monad
world-chain,World Chain,-,Canonical Bridge,489145405.1856303,Ethereum
drift-trade,Drift Trade,DRIFT,Derivatives,484489278.5445193,Solana
upshift,Upshift,-,Onchain Capital Allocator,475709268.01742023,Ethereum;Monad;Sui;Hyperliquid L1;Plasma;Avalanche;Mezo;Base;Binance
lightning-network,Lightning Network,-,Payments,475312497.1552504,Bitcoin
marinade-liquid-staking,Marinade Liquid Staking,MNDE,Liquid Staking,455288217.9112208,Solana
b2-buzz,B2 Buzz,-,Canonical Bridge,453312324.7501819,Bitcoin;Ethereum;Polygon;Binance
phemex,Phemex,PT,CEX,452062041.8623661,Ethereum;Bitcoin;Ripple;Binance;Solana;Tron;Avalanche;Arbitrum;Optimism;zkSync Era;Polygon;Base;Linea;Sui;Fantom;Polkadot
resolv,Resolv,RESOLV,Basis Trading,451798876.43778396,Ethereum
bedrock-unibtc,Bedrock uniBTC,-,Anchor BTC,442034192.4908726,Bitcoin;Ethereum;Mode;BOB;Binance;Mantle;BSquared;Berachain;Base;Arbitrum;Merlin;Bitlayer;ZetaChain;Optimism;Hemi;RSK;TAC;Taiko
ondo-global-markets,Ondo Global Markets,ONDO,RWA,436797704.2850246,Ethereum;Binance
tydro,Tydro,-,Lending,436592624.30208987,Ink
quickswap-dex,Quickswap Dex,QUICK,Dexs,422441535.7912815,Polygon;Base
bouncebit-cedefi-yield,BounceBit CeDeFi Yield,-,Basis Trading,420168995.00076735,BounceBit;Binance;Ethereum;Solana;Base
marinade-native,Marinade Native,MNDE,Staking Pool,415860298.4728012,Solana
stacks-sbtc,Stacks sBTC,-,Bridge,404923651.4037368,Bitcoin
yearn-finance,Yearn Finance,YFI,Yield Aggregator,402461250.419994,Katana;Ethereum;Base;Optimism;Polygon;Arbitrum;Fantom
coinbase-wrapped-staked-eth,Coinbase Wrapped Staked ETH,-,Liquid Staking,400953729.4173348,Ethereum
gmx-v2-perps,GMX V2 Perps,GMX,Derivatives,396335359.56216055,Arbitrum;Avalanche;Solana;Botanix
aave-horizon-rwa,Aave Horizon RWA,AAVE,RWA Lending,391290705.2448474,Ethereum
superstate-uscc,Superstate USCC,-,Basis Trading,378255785.3519477,Ethereum;Solana;Plume Mainnet
orca-dex,Orca DEX,ORCA,Dexs,375628690.98814076,Solana;Eclipse
cap,cap,-,Lending,372589908.6383074,Ethereum
lombard-btc.b,Lombard BTC.b,-,Bridge,362103549.32235944,Bitcoin
marinade-select,Marinade Select,MNDE,Staking Pool,361516917.9487101,Solana
edgex-bridge,edgeX Bridge,-,Bridge,360757795.2021034,Ethereum;Arbitrum;Binance
core-bitcoin-bridge,Core Bitcoin Bridge,-,Bridge,357408770.48016006,Bitcoin
nexo,Nexo,NEXO,CEX,351252044.39463586,Ethereum;Polygon;Avalanche;Binance;Arbitrum;Optimism;Fantom
xdai-stake-bridge,xDAI Stake Bridge,STAKE,Canonical Bridge,346451263.0014396,Ethereum
unirouter,UniRouter,URO,Bridge,341401140.8604643,BSquared
benqi-staked-avax,Benqi Staked Avax,QI,Liquid Staking,335521779.82574403,Avalanche
hyperliquid-hlp,Hyperliquid HLP,HYPE,Derivatives,330647546.50578785,Hyperliquid L1
buzz-farming,Buzz Farming,-,Farm,330437177.4714708,BSquared
connext,Connext,NEXT,Bridge,326967510.49162275,Ethereum;Arbitrum;Linea;Binance;Optimism;Polygon;xDai;Metis;Base;Mode;Milkomeda;Moonriver;Fantom;Moonbeam;Fuse;Cronos;Boba;Evmos;Harmony;Avalanche
paycash,PayCash,MLNK,Dexs,318911479.59705,EOS
plasma-saving-vaults,Plasma Saving Vaults,-,Onchain Capital Allocator,315986850.0763525,Plasma
bitfi-basis,BitFi Basis,-,Basis Trading,314767355.3285171,Binance;Ethereum;Hemi;Base;CORE;Bitlayer
mantle-bridge,Mantle Bridge,MNT,Canonical Bridge,313991021.9070787,Ethereum
backpack,Backpack,-,CEX,310990130.88269377,Solana;Bitcoin;Ethereum;Arbitrum;Aptos;Base;Optimism;Polygon;Tron;Binance;Plasma;Avalanche;Doge;Ripple;Hyperliquid L1;Litecoin
zircuit-staking,Zircuit Staking,-,Farm,306992338.1822506,Ethereum;Zircuit
solstice-usx,Solstice USX,-,Basis Trading,305609446.13947874,Solana
k3-capital,K3 Capital,-,Risk Curators,296785826.4849351,Plasma;Ethereum;Arbitrum;Avalanche;Unichain;Binance;BOB
mellow-lrt,Mellow LRT,-,Liquid Restaking,294995525.37261516,Ethereum;Lisk;Monad;Binance;Fraxtal
b14g,b14g,-,Restaking,293027591.9129335,Bitcoin;CORE;Babylon Genesis
meth-protocol,mETH Protocol,-,Liquid Restaking,292080451.763821,Ethereum
hyperlend-pooled,HyperLend Pooled,-,Lending,282603897.7677018,Hyperliquid L1
bitrue,Bitrue,-,CEX,280026943.5218344,Ripple;Ethereum;Bitcoin;Hedera;Cardano;Tron;Solana;XDC;Binance;Polygon;Flare;VeChain;Cosmos;Mantle;Scroll;Linea;zkSync Era;Taiko;CORE;Sui;Polkadot
compound-v2,Compound V2,COMP,Lending,277819437.89221364,Ethereum
midas-rwa,Midas RWA,-,RWA,274643394.85776025,Ethereum;Plasma;Arbitrum;Hyperliquid L1;Katana;Unichain;Monad;Etherlink;XRPL EVM;Plume Mainnet;Sonic;Base;Linea;RSK;Polygon;Bitcoin;0G;Sapphire
aster-asbnb,Aster asBNB,ASTER,Yield,273105064.6375157,Binance
gtbtc,GTBTC,-,Restaked BTC,270211631.6224882,Bitcoin
navi-lending,NAVI Lending,NAVX,Lending,267421535.41588813,Sui
fluid-lite,Fluid Lite,FLUID,Yield Aggregator,267015605.16597912,Ethereum
frax-ether,Frax Ether,FRAX,Liquid Staking,264525663.89337978,Ethereum;Fraxtal
polymarket,Polymarket,-,Prediction Market,263575853.71973792,Polygon
anemoy-capital,Anemoy Capital,-,RWA,263394225.22727606,Ethereum;Celo;Base
treehouse-protocol,Treehouse Protocol,TREE,DOR,263220835.27312964,Ethereum;Mantle;Avalanche
exsat-staking-btc,exSat Staking BTC,-,Bridge,261888012.01318637,Bitcoin
defi-saver,Defi Saver,-,CDP Manager,261563640.51650843,Ethereum;Arbitrum;Optimism;Base
suilend,Suilend,SEND,Lending,259535338.06450796,Sui
sanctum-infinity,Sanctum Infinity,CLOUD,Dexs,258226609.67912692,Solana
kamino-liquidity,Kamino Liquidity,KMNO,Liquidity manager,257876922.6432525,Solana
aerodrome-slipstream,Aerodrome Slipstream,AERO,Dexs,253623127.23144794,Base
re,Re,-,Insurance,250292305.4148087,Ethereum;Avalanche;Base;Arbitrum
sunswap-v2,SUNSwap V2,SUN,Dexs,246899336.92122927,Tron
liquity-v1,Liquity V1,LQTY,CDP,243514515.24326476,Ethereum
kraken-bitcoin,Kraken Bitcoin,-,Bridge,242760376.03776714,Bitcoin
mev-capital,MEV Capital,-,Risk Curators,242115603.67024758,Ethereum;Hyperliquid L1;Avalanche;Sonic;Sui;Binance;Arbitrum;Base;Berachain;Unichain;Polygon
noble,Noble,-,Chain,238974828.76292005,Noble
bybit-staked-sol,Bybit Staked SOL,-,Liquid Staking,235420114.0339684,Solana
solv-basis-trading,Solv Basis Trading,SOLV,Basis Trading,234848755.74617854,Binance;Soneium;Arbitrum;Ethereum;Mantle;Polygon;Solana;Merlin
pinksale,PinkSale,PINKSALE,Launchpad,234476622.98469642,Binance;Ethereum;Polygon;Cronos;Avalanche;Fantom
vault-bridge,Vault Bridge,-,Risk Curators,229991178.1174364,Ethereum
drift-staked-sol,Drift Staked SOL,DRIFT,Liquid Staking,229965523.50314912,Solana
strata-tranches,Strata Tranches,-,Yield,225218680.10802242,Ethereum
benqi-lending,Benqi Lending,QI,Lending,221750462.4258854,Avalanche
valr,VALR,-,CEX,218832927.64796925,Bitcoin;Ethereum;Ripple;Solana;Tron;Binance;Avalanche
pumpswap,PumpSwap,-,Dexs,218805283.83912086,Solana
beefy,Beefy,BIFI,Yield Aggregator,211690634.5526877,Ethereum;Arbitrum;Base;Avalanche;Fraxtal;Binance;Optimism;Polygon;Fantom;Cronos;Plasma;Linea;Sonic;Metis;Monad;xDai;Berachain;Lisk;RSK;Canto;Moonbeam;Mantle;zkSync Era;Fuse;Moonriver;Aurora;Celo;Kava;Mode;Oasis;Scroll;Harmony;Sei;Hyperliquid L1;Heco;re.al;Manta;Polygon zkEVM;Saga
blockchain-capital,Blockchain Capital,BCAP,RWA,208940705.23,zkSync Era
coinex,CoinEx,CET,CEX,208647370.87556368,Bitcoin;Ethereum;Tron;Starknet
yield-basis,Yield Basis,YB,Leveraged Farming,207661986.51035452,Ethereum
the-vault-liquid-staking,The Vault Liquid Staking,-,Liquid Staking,206768859.20066297,Solana
stake-dao,Stake DAO,SDT,Yield,206624880.93677264,Ethereum;Fraxtal;Arbitrum;Base;Sonic;Polygon;Avalanche;Linea;xDai;Optimism
gaib,GAIB,-,RWA,202008789.1918517,Ethereum;Sei;Arbitrum;Binance;Base;Story
coindcx,CoinDCX,-,CEX,196765748.69488227,Bitcoin;Ethereum;Ripple;Cardano;Binance;Tron;Solana;Polygon;Arbitrum;Litecoin;Avalanche;Optimism;Fantom
solv-strategies,Solv Strategies,-,Onchain Capital Allocator,193979630.55314824,Binance;Ethereum;Avalanche;Berachain;BOB
uncx-network-v2,UNCX Network V2,UNCX,Token Locker,193694792.286416,Ethereum;Binance;Base;Polygon;Arbitrum;Avalanche;xDai
aave-v2,Aave V2,AAVE,Lending,187920840.72122455,Ethereum;Polygon;Avalanche
fassets,FAssets,-,Bridge,183688174.23733014,Ripple;Flare
polygon-zkevm-bridge,Polygon zkEVM Bridge,-,Canonical Bridge,183678073.09404397,Ethereum
solvbtc-lsts,SolvBTC LSTs,-,Restaked BTC,181123618.43017852,Bitcoin;Ethereum
echo-bridge,Echo Bridge,-,Bridge,180881611.86687407,BSquared
zksync-era-txbridge,zkSync Era txBridge,-,Canonical Bridge,179897416.53657505,Ethereum
echo-lending,Echo Lending,-,Lending,178527757.85955077,Aptos
infinifi,infiniFi,-,Yield,177731256.15716937,Ethereum
vvs-standard,VVS Standard,VVS,Dexs,177582879.2549657,Cronos
sunswap-v3,SUNSwap V3,SUN,Dexs,177580992.70415178,Tron
ultrayield-by-edge,UltraYield by Edge,-,Risk Curators,176903537.60088846,Ethereum;Hyperliquid L1;Monad;Etherlink;Base;TAC;Plasma;Arbitrum;Optimism;Plume Mainnet;Linea
