slug,name,symbol_llama,category_llama,tvl,chains_llama
7k-aggregator,7K Aggregator,-,DEX Aggregator,,
88mph,88mph,MPH,Lending,442442.0809238396,Ethereum;Fantom;Avalanche;Polygon
8dx,8DX,-,DEX Aggregator,,
8ightdao,8ightDAO,EIGHT,Reserve Currency,0.0,Harmony
8lends,8lends,-,RWA Lending,205326.43015638329,Base
9inch-v2,9inch V2,9INCH,Dexs,765610.1055580017,Pulse;Ethereum
9inch-v3,9inch V3,9INCH,Dexs,275805.0710065893,Pulse
9mm-v2,9mm V2,-,Dexs,79118.0875553934,Pulse;Base;Sonic
9mm-v3,9mm V3,-,Dexs,3406481.783592256,Pulse;Base;Sonic
9summits,9Summits,-,Risk Curators,146812.8762339935,Ethereum;Base;Unichain
a-dex,A-DEX,-,Dexs,26.501189391760057,EOS;Wax
a51-finance-v2,A51 Finance V2,A51,Liquidity manager,21660.617524153746,Ethereum;Arbitrum;Dogechain;Polygon;Binance;Polygon zkEVM
a51-finance-v3,A51 Finance V3,A51,Liquidity manager,5754.960945225807,Base;Arbitrum;Linea;Optimism;Blast;Mode;Scroll;Manta;Binance;Polygon;Polygon zkEVM
aark-digital,Aark Digital,AARK,Interface,0.0,Arbitrum
aarna-protocol,Aarna Protocol,-,Yield,711448.8276897097,Ethereum;Sonic;Arbitrum
aave-aptos,Aave Aptos,AAVE,Lending,39483186.43637452,Aptos
aave-arc,Aave Arc,AAVE,Lending,57253.38956171104,Ethereum
aave-chan,Aave-Chan,-,DAO Service Provider,,
aave-v1,Aave V1,AAVE,Lending,10594251.86274393,Ethereum
aave-v2,Aave V2,AAVE,Lending,187920840.72122455,Ethereum;Polygon;Avalanche
aave-v3,Aave V3,AAVE,Lending,34189753691.24607,Ethereum;Plasma;Arbitrum;Base;Avalanche;Binance;Polygon;Linea;Optimism;xDai;Sonic;Celo;Scroll;zkSync Era;Soneium;Metis;Fantom;Harmony
aavegotchi,Aavegotchi,GHST,Gaming,579787.8197255363,Polygon;Ethereum
abachi,Abachi,ABI,Services,0.0,
abacus,Abacus,-,Governance Incentives,21494.14150485646,Polygon;Binance;Arbitrum;Avalanche;Scroll;Mantle
abc-pool,ABC Pool,ABC,Staking Pool,7834453.513054133,Conflux
abcdefx,ABcDeFX,-,Dexs,32.14911763067502,Kucoin;Fantom;Kava;MultiVAC;Echelon
abel-finance,ABEL Finance,ABEL,Lending,256435.5155908135,Aptos
abex-finance,ABEx Finance,ALP,Derivatives,29783.889762975516,Sui
aboard-exchange,Aboard Exchange,ABE,Derivatives,125.12689311981136,Arbitrum;Avalanche;zkSync Era;Base;Scroll;Manta;Mantle;Polygon zkEVM
abracadabra-spell,Abracadabra Spell,SPELL,CDP,15231375.61327472,Arbitrum;Ethereum;Blast;Binance;Kava;Avalanche;Fantom;Optimism
abstract,Abstract,-,Chain,54994572.526297815,Ethereum
abstradex,AbstraDEX,-,Dexs,393538.328429232,X Layer;Morph;Cronos zkEVM;ZetaChain;Zkfair;Cyber;Blast
acala,Acala,ACA,Canonical Bridge,0.0,
acala-dollar,Acala Dollar,aUSD,CDP,0.0,Acala
acala-euphrates,Acala Euphrates,DOT,Yield,519074.4134650874,Acala
acala-lcdot,Acala LCDOT,DOT,Liquid Staking,5049674.267356669,Acala
acala-liquid-staking,Acala Liquid Staking,DOT,Liquid Staking,6778332.384969508,Acala
acala-swap,Acala Swap,ACA,Dexs,0.0,Acala
access-protocol,Access Protocol,ACS,SoFi,0.0,Solana
accumulated-finance-lending,Accumulated Finance Lending,-,Lending,203474.5579993581,ZetaChain;Coti;Velas;Bitkub;Sapphire
accumulated-finance-liquid-staking,Accumulated Finance Liquid Staking,-,Liquid Staking,1190593.23498727,Sapphire;Bitkub;ZetaChain;Velas;Ethereum;Coti;Manta;Arbitrum;Binance;Sei;Artela
accumulator,Accumulator,-,Yield Aggregator,2165.0761195816435,ShimmerEVM
ace-of-base,Ace of Base,ACE,Farm,22.412592399676846,Base
acet,ACET,ACT,Farm,0.0,Binance
acoconut,ACoconut,AC,Yield,5597.3395187932565,Ethereum;Binance
across,Across,ACX,Cross Chain Bridge,44459863.28666517,Ethereum
acryptos,ACryptoS,ACS,Liquidity manager,10559723.547954828,Binance;Arbitrum;Avalanche;Base;Moonbeam;Moonriver;Astar;Linea;Ethereum;Optimism;Cronos;xDai;Polygon;Fantom;Kava;Canto;Harmony
acumen,Acumen,ACM,Lending,0.0,Solana
ad-astra-bridge,Ad-Astra Bridge,-,Bridge,4.6263641677226035,Ethereum
adamant-finance,Adamant Finance,ADDY,Yield,516001.2546007754,Fraxtal;Polygon;Arbitrum;Cronos
adao,ADAO,ibASTR,Yield,1717.3624255024824,Astar
adaswap,AdaSwap,ASW,Dexs,0.0,Milkomeda
adax-pro,ADAX Pro,ADAX,Dexs,0.0,Cardano
aden,ADEN,-,Interface,,
adena-finance,Adena Finance,ADENA,Dexs,44.76541291581891,Harmony
adrastea-lrt,Adrastea LRT,-,Liquid Restaking,1960667.775917748,Solana
adrastea-lst,Adrastea LST,-,Liquid Staking,7148757.774522034,Solana
adrastea-restaking-operator,Adrastea Restaking Operator,-,Staking Pool,0.0,Solana
adrastea-validator,Adrastea Validator,-,Staking Pool,15107181.269434337,Solana
adrastea-yield,Adrastea Yield,-,Yield,85191.55545660887,Solana
adrena-protocol,Adrena Protocol,ADX,Derivatives,1588150.739753052,Solana
aegis,Aegis,-,Basis Trading,42711703.58674771,Ethereum;Binance
aelin,Aelin,Aelin,Charity Fundraising,25317.3341180463,Optimism;Ethereum
aequinox,Aequinox,AEQ,Dexs,634192.6005854413,Binance
aera-v2,Aera V2,-,Onchain Capital Allocator,52786863.86349927,Ethereum;Arbitrum;Polygon;Base
aera-v3,Aera V3,-,Onchain Capital Allocator,87534359.30618437,Base;Ethereum
aeria,Aeria,-,Options Vault,365.0832180081073,Base
aerie-lab,Aerie Lab,-,Dexs,0.0,Ethereum
aerodrome-slipstream,Aerodrome Slipstream,AERO,Dexs,253623127.2314479,Base
aerodrome-v1,Aerodrome V1,AERO,Dexs,170360742.10959256,Base
aethir,Aethir,ATH,Developer Tools,0.0,Ethereum
aevo-options,Aevo Options,AEVO,Options,,
aevo-perps,Aevo Perps,AEVO,Derivatives,27092864.67050956,Ethereum;Arbitrum;Optimism;Base
affine-defi-earn,Affine DeFi Earn,-,Yield Aggregator,43945.923745124615,Polygon;Ethereum
affine-restaking,Affine Restaking,-,Liquid Restaking,166029.96858970064,Ethereum;Linea
affluent,Affluent,-,Lending,5496640.192149176,TON
afraswap,AfraSwap,AFRA,Dexs,579.5536573968168,Binance
aftermath-afsui,Aftermath afSUI,-,Liquid Staking,10302021.50059492,Sui
aftermath-aggregator,Aftermath Aggregator,-,DEX Aggregator,,
aftermath-amm,Aftermath AMM,-,Dexs,8938256.081532381,Sui
agarthadao,AgarthaDAO,CLAVIS,Reserve Currency,0.0,Avalanche
agave,Agave,AGVE,Lending,121668.4283265075,xDai
agdex,AGDEX,-,Derivatives,125.94556178377432,Aptos
agentfi,AgentFi,-,AI Agents,179886.5567559167,Blast
aggre,Aggre,-,DEX Aggregator,,
aggrelend,AggreLend,-,Yield Aggregator,379738.83339514985,Solana
agile-finance,Agile Finance,AGL,Lending,0.0,Cronos
agility-lsd,Agility LSD,AGI,Indexes,32118.624986963187,Ethereum
agni-finance,Agni Finance,-,Dexs,37574893.71335653,Mantle
agora,Agora,AGORA,Lending,7909.855089755016,Metis
ags-finance,AGS Finance,AGS,Dexs,1471.2699730098404,Astar
agus,Agus,AGUS,Dexs,0.039547708994777,CORE;Binance
aidapp,AIDApp,-,Launchpad,1.848485370863483,CORE
ailayer-farm,AILayer farm,-,Farm,91310532.9971855,Bitcoin;zkLink
aimbot,Aimbot,AIMBOT,Telegram Bot,,
aimstrong,AImstrong,-,Lending,393.44412835625894,Arbitrum;Binance;Base;ZetaChain
ainn-swap,AINN Swap,-,Dexs,72907.80434189999,AILayer
airdao-bridge,AirDAO Bridge,-,Bridge,1439.2893257710873,Binance;Ethereum
airdao-hera-pool,AirDAO Hera pool,-,Chain,0.0,AirDAO
airpuff,AirPuff,APUFF,Leveraged Farming,870869.5736038125,Ethereum;Arbitrum;Mode;K2;zkLink;Mantle
airswap,AirSwap,AST,DEX Aggregator,0.0,
aitech,AITECH,AITECH,Services,0.0,Binance
aixcb,aixCB,AIXCB,Farm,0.0,Base
ajira-pay-finance-v1,Ajira Pay Finance V1,AJP,Payments,36.63206240288253,Polygon;Kava
ajira-pay-finance-v2,Ajira Pay Finance V2,AJP,Payments,3372.08499689714,Linea
ajna-v1,Ajna V1,AJNA,Lending,597926.3142073108,Ethereum
ajna-v2,Ajna V2,AJNA,Lending,782284.276724617,Ethereum;Hemi;Base;Arbitrum;Rari;Optimism;Polygon;Avalanche;Filecoin;Binance;Blast;Mode;Linea
akiba-finance,Akiba Finance,AKIBA,Algo-Stables,0.0,Kava
akitaswap,AkitaSwap,-,Dexs,62271.48259405616,Blast
akka,AKKA,-,DEX Aggregator,,
akronswap,Akronswap,-,Dexs,3222.461696493044,Arbitrum;Ethereum;Base;Binance
akropolis,Akropolis,AKRO,Yield,0.0,Ethereum
aktionariat,Aktionariat,DAKS,RWA,9152691.052703176,Ethereum;Optimism;Polygon
aladdin-dao,Aladdin DAO,ALD,Yield Aggregator,36310.048583285505,Ethereum
alchemist,Alchemist,MIST,Yield,463548.9218730384,Ethereum
alchemix,Alchemix,ALCX,Synthetics,42956021.73379398,Ethereum;Optimism;Arbitrum;Fantom
alcor-exchange,Alcor Exchange,-,Dexs,248264.32188995613,Wax;EOS
aldrin,Aldrin,RIN,Dexs,610609.631536411,Solana
alephium-bridge,Alephium Bridge,-,Bridge,1779931.877688046,Alephium;Ethereum;Binance
alex,ALEX,ALEX,Dexs,1927877.1730302456,Stacks
alfafrens,AlfaFrens,-,SoFi,6292.742472330363,Base
algebra-dex,Algebra DEX,ALGB,Dexs,76885.63274664168,Polygon
algebra-integral,Algebra Integral,ALGB,Dexs,,
algem,Algem,-,Liquid Staking,42448.20044143488,Astar
algoblocks,AlgoBlocks,ALGOBLK,Services,0.0,Binance
algodex,Algodex,ALGX,Dexs,3955.218021799081,Algorand
algofi-lend,Algofi Lend,-,Lending,780958.5157730808,Algorand
algofi-swap,Algofi Swap,-,Dexs,69446.35606093271,Algorand
algomint,Algomint,goMINT,Algo-Stables,265.4693153187511,Algorand
algorai-finance,AlgoRai Finance,-,Options Vault,17357.80190111035,Algorand
alien-base-area51,Alien Base Area51,ALB,Dexs,26388.16702018281,Base
alien-base-stableswap,Alien Base StableSwap,ALB,Dexs,2573.923789394661,Base
alien-base-v2,Alien Base V2,ALB,Dexs,1474049.7145467848,Base
alien-base-v3,Alien Base V3,ALB,Dexs,4974171.038578795,Base
alien-finance,Alien Finance,ALIEN,Lending,0.0,Blast
alien-worlds,Alien Worlds,TLM,Gaming,66065.15167877468,Wax
alienfi,AlienFi,ALIEN,Dexs,113038.10089317882,Arbitrum
aliensfarm,AliensFarm,PAUL,Dexs,1271.4151593627869,Tezos
alita-finance,Alita Finance,ALI,Dexs,253032.64372132384,Binance
alium-swap,Alium Swap,ALM,Dexs,20238.63758487444,Binance
alkemi,Alkemi,ALK,Lending,194959.00641961087,Ethereum
alkimi,Alkimi,ALKIMI,Services,0.0,Sui
alkimiya,Alkimiya,-,Derivatives,10880.87073971576,Base
allbridge-classic,Allbridge Classic,ABR,Bridge,18355955.79246327,Ethereum;Solana;Polygon;Binance;Avalanche;Near;Celo;Fantom;Terra;Ripple;Aurora;Harmony;Fuse
allbridge-core,Allbridge Core,-,Bridge,23607809.01799642,Ethereum;Tron;Binance;Solana;Arbitrum;Base;Stellar;Polygon;Avalanche;Sui;Celo;Optimism;Unichain;Sonic
alligator,Alligator,GTR,Dexs,8385.383029567452,Avalanche
allinx,Allinx,INX,Yield,0.0,Binance
allinxswap,AllInXSwap,X,Dexs,366.78659191985616,Op_Bnb;Binance
allobtc,alloBTC,-,Restaked BTC,0.4910731886080022,Bitcoin
allspark,Allspark,-,Derivatives,1.7666904884255763e-11,zkLink
allstake,Allstake,-,Restaking,1928850.3447245308,Near;Solana;Ethereum
almanak,Almanak,-,Onchain Capital Allocator,4655801.876533965,Ethereum;Base
almond,Almond,ALM,Yield,0.0,Solana
aloe,Aloe,-,Lending,114363.84729122948,Arbitrum;Base;Optimism;Linea;Ethereum
alongside,Alongside,AMKT,Indexes,639292.2514653364,Ethereum
alpaca-city,Alpaca City,ALPA,Yield,0.0,Ethereum;Binance
alpaca-finance-2.0,Alpaca Finance 2.0,ALPACA,Lending,15388391.090784566,Binance
alpaca-leveraged-yield-farming,Alpaca Leveraged Yield Farming,ALPACA,Leveraged Farming,40954799.863088846,Binance;Fantom
alpaca-perpetual-futures-exchange,Alpaca Perpetual Futures Exchange,ALPACA,Derivatives,64065.809477027535,Binance
alpha,Alpha,BTC,SoFi,564415.9072338181,NOS
alpha-arcade,Alpha Arcade,ALPHA,Prediction Market,218095.7443094245,Algorand
alphadex,Alphadex,ROAR,Dexs,123633.96244994825,Moonriver;Kava
alphafi-agg,AlphaFi Agg,ALPHA,Yield Aggregator,16153238.48646468,Sui
alphafi-stsui,AlphaFi stSUI,ALPHA,Liquid Staking,6503040.329379337,Sui
alphalend,AlphaLend,BLUE,Lending,95476706.03770667,Sui
alphaping,AlphaPing,-,Risk Curators,34838317.01797868,Ethereum
alphax,AlphaX,-,Derivatives,6.117713672351788,Arbitrum;Ethereum
alphbanx,AlphBanX,ABX,CDP,933972.053990828,Alephium
alphpad,AlphPad,APAD,Launchpad,0.0,Alephium
alta-finance,ALTA Finance,-,RWA Lending,0.0,Base;Polygon
alternity,Alternity,LCNY,CDP,14182.269377623055,Ethereum
alterscope,Alterscope,-,Risk Curators,2272059.326101203,Base;Ethereum;Starknet
altitude,Altitude,ALTD,Cross Chain Bridge,54102.788405301166,Ethereum;Arbitrum;Avalanche;Linea;Optimism;Polygon;Binance;Mantle;Fantom
altitude.fi,Altitude.Fi,-,Lending,13727921.787022546,Ethereum
altlayer,AltLayer,ALT,Developer Tools,,
altr-lend,Altr Lend,-,Lending,0.0,Polygon
alvey-dex,Alvey Dex,-,Dexs,0.0,ALV
alyx-finance,Alyx finance,ALYX,Reserve Currency,1.1941571181888069,Binance
amana,Amana,-,Yield Aggregator,63303.58761031266,ZetaChain
amaterasu-finance,Amaterasu Finance,IZA,Dexs,7779.845050530012,Aurora
amber-finance,Amber Finance,-,Lending,30600497.695781656,Neutron
ambient,Ambient,-,Dexs,4682355.338100728,Scroll;Ethereum;Blast;Swellchain;Plume Mainnet;Canto
ambire-wallet,Ambire Wallet,WALLET,Wallets,0.0,Ethereum
ambit-finance,Ambit Finance,AMBT,Lending,89973.18836241,Binance
amesdefi,AmesDefi,AMES,Algo-Stables,0.0,Binance
amet-finance,Amet Finance,-,Services,0.0,Manta;Polygon;Polygon zkEVM;Base
ammos-finance,Ammos Finance,-,Dexs,2414.461334553242,Mantle
amnis-finance,Amnis Finance,AMI,Liquid Staking,48966329.03962506,Aptos
amogus-dao,Amogus DAO,SUS,Reserve Currency,44.972483118357815,Avalanche
amped-finance,Amped Finance,AMPED,Derivatives,10892.003153562848,Sonic;Superseed;Base;LightLink;Binance;Berachain
ampere,Ampere,AMP,Algo-Stables,0.0,Fuse
amphor,Amphor,-,Yield,111209.12770484478,Ethereum
amphora,Amphora,AMPH,Lending,9496.192708547662,Ethereum
ampleswap,AmpleSwap,AMPLE,Dexs,21370.356031327607,Binance;DSC;ALV
amplifyfinance,AmplifyFinance,-,Yield,0.9113186932619742,Ethereum
amply-finance,Amply Finance,preAMP,Lending,916675.3318275178,Cronos zkEVM
amulet-finance,Amulet Finance,-,Synthetics,35709.74896350302,Neutron
amulet-liquidity-staking,Amulet Liquidity Staking,-,Liquid Staking,391766.8015796672,Solana
amulet-v1,Amulet V1,AMU,Insurance,0.0,Solana
amulet-v2,Amulet V2,AMU,Yield Aggregator,82953.01423473346,Solana;Optimism;Ethereum;Polygon zkEVM
amun,Amun,AMUN,Indexes,379345.2414981505,Solana;Ethereum;Polygon
amy-finance,Amy Finance,AMY,Lending,0.0,Arbitrum
anchor,Anchor,ANC,Lending,0.0,Terra;Avalanche
anchorswap,AnchorSwap,ANCHOR,Dexs,50516.11935992986,Binance
ancient8,Ancient8,A8,Chain,540655.523562176,Ethereum
ancient8-swap,Ancient8 Swap,-,Dexs,86849.9971134159,Ancient8
ancora-finance,Ancora Finance,ACR,Dexs,2636.027144884199,Linea
andromeada,Andromeada,-,Dexs,61628.71104115084,Base
anedak,Anedak,-,Dexs,0.0,Kadena
anemoy-capital,Anemoy Capital,-,RWA,263394225.2272761,Ethereum;Celo;Base
anetabtc,anetaBTC,-,Bridge,125588.6049153496,Cardano;Ergo
angel-protocol,Angel Protocol,HALO,Charity Fundraising,0.0,Terra
angle,Angle,ANGLE,CDP,14900666.343541889,Ethereum;Arbitrum;Polygon;Optimism;Avalanche;Binance;Celo;xDai
angles-liquid,Angles Liquid,-,Onchain Capital Allocator,416.5348765780339,Sonic
angles-stake,Angles Stake,-,Liquid Staking,2666915.112032634,Sonic
angstrom,Angstrom,-,Dexs,3133329.3649035306,Ethereum
animal-farm-v1,Animal Farm V1,PIGS,Farm,2275.9005838797566,Binance
animal-farm-v2,Animal Farm V2,AFP,Yield,0.0,Binance
animeswap,AnimeSwap,ANI,Dexs,12582.241106894007,Aptos;Sui
ankr,Ankr,ANKR,Liquid Staking,36381740.99044774,Ethereum;Flow;Binance;Avalanche;Fantom;Polkadot;xDai;Kusama
annex,Annex,ANN,Lending,3714.0932913035704,Cronos;Binance;Kava
anon-social,Anon Social,-,SoFi,1492.9176669348212,Base
anqa,Anqa,-,DEX Aggregator,,
ante-finance,Ante Finance,-,Insurance,653140.272321997,Ethereum;Binance;Avalanche;Optimism;Aurora;Polygon;Fantom;Arbitrum
antex,Antex,ANTEX,Launchpad,7398.6986214345325,Binance
antfarm-finance,Antfarm finance,ATF,Liquidity manager,823989.783386473,Ethereum;Avalanche;Polygon zkEVM;Arbitrum
antihero-finance,AntiHero Finance,ANTI,Lending,2.845070725745267,Arbitrum
antimatter,Antimatter,MATTER,Options,18557.413504393266,Avalanche;Ethereum;Arbitrum;Binance;Kava
anvil,Anvil,ANVL,Collateral Management,54239042.9075936,Ethereum
anyhedge,AnyHedge,-,Derivatives,4863333.4799999995,Bitcoincash
anzen-v1,Anzen V1,ANZ,RWA,6297.836084041421,Ethereum
anzen-v2,Anzen V2,ANZ,RWA,109237298.84189026,Base;Ethereum;Manta;Arbitrum;Blast
ao-bridge,AO Bridge,AO,Canonical Bridge,156900816.84128,Ethereum
ape-express,Ape Express,-,Launchpad,43073.49468824729,ApeChain
ape-finance,Ape Finance,APEFI,Lending,55355.4921074401,Ethereum
ape-jupiter,Ape Jupiter,JUP,Launchpad,,
ape.store,Ape.Store,-,Launchpad,192117.60759818277,Base;Ethereum
apebank,ApeBank,-,Lending,159556.82791832878,ApeChain
apebond-staking,ApeBond Staking,ABOND,Farm,9754.726361713092,Binance;Ethereum;Polygon
apebot,ApeBot,-,Telegram Bot,,
apechain-bridge,ApeChain Bridge,-,Bridge,1407155.5606892589,Ethereum
apechainstake,ApeChainStake,-,Yield,0.0,ApeChain
apecoin,ApeCoin,APE,Yield,0.0,
apedao,ApeDAO,vAPE,Farm,14.850911248383982,Fantom
aperocket,ApeRocket,SPACE,Yield,45584.39371789487,Binance
aperture-lm,Aperture LM,APTR,Liquidity manager,13532.379977925171,Avalanche;Terra
apertureswap,ApertureSwap,APTR,Dexs,60845.05071777957,Manta
apeswap-amm,ApeSwap AMM,ABOND,Dexs,16396709.818858942,Binance;Polygon;Arbitrum;Telos;Ethereum
apeswap-lending,ApeSwap Lending,ABOND,Lending,270276.1454408569,Binance
apex-defi,Apex DeFi,APEX,Dexs,35863.34340053309,Avalanche;Base;Ethereum
apex-omni,Apex Omni,-,Derivatives,44784132.7320845,Ethereum;Mantle;Arbitrum;Binance;Base
apex-pro,ApeX Pro,APEX,Derivatives,1440486.6678425428,Ethereum;Polygon;Arbitrum;Binance;Optimism;Mantle;Avalanche
apexswap,ApexSwap,APEX,Dexs,69.73821669376733,Avalanche
api3,Api3,API3,Oracle,0.0,Ethereum
apollo-diversified-credit-securitize-fund,Apollo Diversified Credit Securitize Fund,-,RWA,83702273.97085103,Ethereum;Aptos;Ink;Avalanche;Polygon;Sei;Solana
apollodao,ApolloDAO,APOLLO,Yield,10940.345815879908,Neutron;Osmosis;Terra
apollon,Apollon,APO,Synthetics,4621.681435465034,Sei
apostro,Apostro,-,Risk Curators,1020225.224811474,Ethereum;Base;Binance
applepie,ApplePie,Pie,Farm,2.477205450440936,Binance
apricot-finance,Apricot Finance,APT,Lending,914182.2342224116,Solana
apstation,ApStation,-,DEX Aggregator,,
aptin-finance-v1,Aptin Finance V1,-,Lending,50454.49952018403,Aptos
aptin-finance-v2,Aptin Finance V2,-,Lending,8208124.719728143,Aptos
aptos,Aptos,APT,Canonical Bridge,0.0,
aptoslaunch,AptosLaunch,ALT,Launchpad,5556.874939867108,Aptos
aptoswap,Aptoswap,-,Dexs,30653.4673947322,Aptos
apx-bridge,APX Bridge,ASTER,Bridge,80359812.94280665,Binance;Ethereum;Arbitrum;Manta;Base;Op_Bnb;zkSync Era
apy-finance,APY Finance,APY,Yield,413843.0887947889,Ethereum
aqua,Aqua,-,Telegram Bot,,
aqua-patina,Aqua Patina,-,Liquid Restaking,23102.149549923222,Ethereum
aqua-protocol,Aqua Protocol,-,CDP,112.27182739250186,TON
aquabera,AquaBera,-,Liquidity manager,28645.75645769745,Berachain
aquadex,Aquadex,-,Dexs,1.2183562349753696,Waterfall
aqualoan,AquaLoan,AQUA,Lending,5288.867965711986,Binance
aquarius,Aquarius,AQU,CDP,1285.1660738296189,Fantom
aquarius-loan,Aquarius Loan,ARS,Lending,36141.09680913584,Arbitrum;CORE
aquarius-stellar,Aquarius Stellar,AQUA,Dexs,37006372.009281,Stellar
aquas-trade,Aquas Trade,-,Dexs,49.9572285563094,Europa
ara-finance,Ara Finance,ARA,Reserve Currency,1504.0929927377565,Avalanche
arable-protocol,Arable Protocol,ACRE,Synthetics,0.0,Avalanche
aragon,Aragon,ANT,Services,0.0,
arbera,Arbera,-,Yield,166056.88120933893,Berachain
arbicheems,ArbiCheems,CHEEMS,Yield,0.6046101205232682,Arbitrum
arbinyan,ArbiNYAN,NYAN,Farm,100032.44491308344,Arbitrum
arbirise-finance,ArbiRise Finance,ARF,Yield,8734.474899972443,Arbitrum
arbis-finance,Arbi's Finance,ARBIS,Yield,102065.74848546195,Arbitrum
arbiswap,ArbiSwap,ARBI,Dexs,12966.87223251627,Arbitrum
arbiten,ArbiTen,ARBITEN,Algo-Stables,4.2886727392566915,Arbitrum
arbitrove,Arbitrove,TROVE,Indexes,771855.1490883997,Arbitrum
arbitrum,Arbitrum,ARB,Canonical Bridge,0.0,
arbitrum-bridge,Arbitrum Bridge,ARB,Canonical Bridge,4204534019.103991,Ethereum
arbitrum-dao,Arbitrum DAO,-,Chain,0.0,
arbitrum-exchange-v2,Arbitrum Exchange V2,ARX,Dexs,20151.716748608786,Arbitrum
arbitrum-exchange-v3,Arbitrum Exchange V3,ARX,Dexs,838.5505584287779,Arbitrum
arbitrum-nova-bridge,Arbitrum Nova Bridge,ARB,Canonical Bridge,28857597.8892831,Ethereum
arbitrum-timeboost,Arbitrum Timeboost,-,MEV,,
arbius,Arbius,AIUS,AI Agents,0.0,Arbitrum
arbor-finance,Arbor Finance,-,Lending,10.962272023676524,Ethereum
arbswap-amm,Arbswap AMM,ARBS,Dexs,342842.4758031658,Arbitrum Nova;Arbitrum
arbswap-stableswap,Arbswap StableSwap,ARBS,Dexs,1185.767661338857,Arbitrum Nova;Arbitrum
arc-swap,Arc Swap,ARC,Services,0.0,Ethereum
arca-labs-arcoin,Arca Labs ArCoin,RCOIN,RWA,444042.1801565973,Ethereum
arcade.xyz,Arcade.xyz,ARCD,NFT Lending,307807.18725834676,Ethereum
arcadia-v1,Arcadia V1,AAA,Leveraged Farming,29747.84499465576,Ethereum;Optimism
arcadia-v2,Arcadia V2,AAA,Liquidity manager,7889773.96505394,Base
arcane-dex,Arcane Dex,ARC,DEX Aggregator,,
arcanum,Arcanum,-,Derivatives,831.5200396386435,Arbitrum
arch,Arch,-,Indexes,3102261.233128159,Ethereum;Polygon
arch-swap,Arch Swap,-,Dexs,4993.977074266347,Botanix
arche-protocol,Arche Protocol,-,CDP,18082.74287844376,Movement
archerswap,ArcherSwap,BOW,Dexs,116828.21555117324,CORE
archi-finance,Archi Finance,ARCHI,Leveraged Farming,186.27907902981804,Arbitrum
archimedes-finance,Archimedes Finance,ARCH,Leveraged Farming,1739.3757064844556,Ethereum
archly-v1,Archly V1,ARC,Dexs,4276.96450674334,Arbitrum Nova;Telos;Base;Binance;Polygon;Arbitrum;Optimism;Fantom;Kava
