protocol_name_raw,symbol,category,chains,tvl_max,audit_firms,audit_score_max,audit_score_mean,last_audit_date,audit_sources,audit_firm_count,has_audit,audit_score,any_top_firm
3jane Lending,-,Lending,['Ethereum'],1057981.7600693572,[],,,,['api'],0,0,,0
3jane Options,-,Options Vault,['Ethereum'],263228.6834015546,[],,,,['api'],0,0,,0
3route,-,DEX Aggregator,['nan'],,[],,,,['api'],0,0,,0
3xcalibur,XCAL,Dexs,['Arbitrum'],3641.261072890263,[],,,,['api'],0,0,,0
40 Acres,-,Lending,['Multi-Chain'],37130523.84970855,[],,,,['api'],0,0,,0
4Swap,-,Dexs,['Mixin'],500571.15,[],,,,['api'],0,0,,0
5ire Dapp Staking,5IRE,Yield,['Ethereum'],0.0,[],,,,['api'],0,0,,0
7K Aggregator,-,DEX Aggregator,['nan'],,[],,,,['api'],0,0,,0
88mph,MPH,Lending,['Multi-Chain'],348224.4561413293,[],,,,['api'],0,0,,0
8DX,-,DEX Aggregator,['nan'],,[],,,,['api'],0,0,,0
8ightDAO,EIGHT,Reserve Currency,['Harmony'],0.0,[],,,,['api'],0,0,,0
8lends,-,RWA Lending,['Base'],93630.9523995223,[],,,,['api'],0,0,,0
9Summits,-,Risk Curators,['Multi-Chain'],9882528.801123977,[],,,,['api'],0,0,,0
9inch V2,9INCH,Dexs,['Multi-Chain'],2969514.691990923,[],,,,['api'],0,0,,0
9inch V3,9INCH,Dexs,['Pulse'],477827.06475446536,[],,,,['api'],0,0,,0
9mm V2,-,Dexs,['Multi-Chain'],191928.7897540259,[],,,,['api'],0,0,,0
9mm V3,-,Dexs,['Multi-Chain'],6512828.910009596,[],,,,['api'],0,0,,0
A-DEX,-,Dexs,['Multi-Chain'],42.9284579481826,[],,,,['api'],0,0,,0
A51 Finance V2,A51,Liquidity manager,['Multi-Chain'],41418.79570323558,[],,,,['api'],0,0,,0
A51 Finance V3,A51,Liquidity manager,['Multi-Chain'],7184.0600407222,[],,,,['api'],0,0,,0
ABC Pool,ABC,Staking Pool,['Conflux'],13650276.504,[],,,,['api'],0,0,,0
ABEL Finance,ABEL,Lending,['Aptos'],256552.95689098976,[],,,,['api'],0,0,,0
ABEx Finance,ALP,Derivatives,['Sui'],57017.66132118377,[],,,,['api'],0,0,,0
ABcDeFX,-,Dexs,['Multi-Chain'],41.22283378163259,[],,,,['api'],0,0,,0
ACET,ACT,Farm,['Binance'],0.0,[],,,,['api'],0,0,,0
ACoconut,AC,Yield,['Multi-Chain'],10105.117831383785,[],,,,['api'],0,0,,0
ACryptoS,ACS,Liquidity manager,['Multi-Chain'],10564758.26,[],,,,['api'],0,0,,0
ADAO,ibASTR,Yield,['Astar'],3472.8347125264204,[],,,,['api'],0,0,,0
ADAX Pro,ADAX,Dexs,['Cardano'],0.0,[],,,,['api'],0,0,,0
ADEN,-,Interface,['nan'],,[],,,,['api'],0,0,,0
AGDEX,-,Derivatives,['Aptos'],579.472013227891,[],,,,['api'],0,0,,0
AGS Finance,AGS,Dexs,['Astar'],1979.752438612908,[],,,,['api'],0,0,,0
AIDApp,-,Launchpad,['CORE'],6.004762543575155,[],,,,['api'],0,0,,0
AILayer farm,-,Farm,['Multi-Chain'],115400525.48153016,[],,,,['api'],0,0,,0
AINN Swap,-,Dexs,['AILayer'],91154.71674280651,[],,,,['api'],0,0,,0
AITECH,AITECH,Services,['Binance'],0.0,[],,,,['api'],0,0,,0
AImstrong,-,Lending,['Multi-Chain'],2867.909746800312,[],,,,['api'],0,0,,0
AKKA,-,DEX Aggregator,['nan'],,[],,,,['api'],0,0,,0
ALEX,ALEX,Dexs,['Stacks'],4148436.863781852,[],,,,['api'],0,0,,0
ALTA Finance,-,RWA Lending,['Multi-Chain'],0.0,[],,,,['api'],0,0,,0
AO Bridge,AO,Canonical Bridge,['Ethereum'],218046676.3388157,[],,,,['api'],0,0,,0
APX Bridge,ASTER,Bridge,['Multi-Chain'],50561632.38847552,[],,,,['api'],0,0,,0
APY Finance,APY,Yield,['Ethereum'],414065.7074133417,[],,,,['api'],0,0,,0
ARCx,ARCx,Insurance,['Ethereum'],0.0,[],,,,['api'],0,0,,0
ARPA Staking,ARPA,Staking Pool,['Ethereum'],0.0,[],,,,['api'],0,0,,0
ASA.Gold,-,RWA,['Algorand'],26607.14183070862,[],,,,['api'],0,0,,0
AUTOfinance,TOKE,Yield,['Multi-Chain'],152061460.08239555,[],,,,['api'],0,0,,0
AUX Exchange,-,Dexs,['Aptos'],27423.670494696147,[],,,,['api'],0,0,,0
AVNU,-,DEX Aggregator,['nan'],0.0,[],,,,['api'],0,0,,0
AYIN,AYIN,Dexs,['Alephium'],228347.96299397075,[],,,,['api'],0,0,,0
AZEX,AZT,Derivatives,['Multi-Chain'],0.0447992171592855,[],,,,['api'],0,0,,0
Aark Digital,AARK,Interface,['Arbitrum'],0.0,[],,,,['api'],0,0,,0
Aarna Protocol,-,Yield,['Multi-Chain'],1114382.448095753,[],,,,['api'],0,0,,0
Aave,,,[],,['DeFiSafety'],88.0,88.0,2024-02-15 00:00:00+00:00,['full'],1,1,88.0,0
Aave Aptos,AAVE,Lending,['Aptos'],1563457.2029135656,[],,,,['api'],0,0,,0
Aave Arc,AAVE,Lending,['Ethereum'],57252.48533258082,[],,,,['api'],0,0,,0
Aave V1,AAVE,Lending,['Ethereum'],14955715.712726545,[],,,,['api'],0,0,,0
Aave V2,AAVE,Lending,['Multi-Chain'],315881709.41464746,[],,,,['api'],0,0,,0
Aave V3,AAVE,Lending,['Multi-Chain'],42514054346.929855,[],,,,['api'],0,0,,0
Aave-Chan,-,DAO Service Provider,['nan'],,[],,,,['api'],0,0,,0
Aavegotchi,GHST,Gaming,['Multi-Chain'],654813.9517474717,[],,,,['api'],0,0,,0
Abachi,ABI,Services,['nan'],0.0,[],,,,['api'],0,0,,0
Abacus,-,Governance Incentives,['Multi-Chain'],38266.44224590498,[],,,,['api'],0,0,,0
Aboard Exchange,ABE,Derivatives,['Multi-Chain'],128.55906849388032,[],,,,['api'],0,0,,0
Abracadabra Spell,SPELL,CDP,['Multi-Chain'],22482084.066815317,[],,,,['api'],0,0,,0
AbstraDEX,-,Dexs,['Multi-Chain'],666251.9772054394,[],,,,['api'],0,0,,0
Abstract,-,Chain,['Ethereum'],79986573.25197582,[],,,,['api'],0,0,,0
Acala,ACA,Canonical Bridge,['nan'],0.0,[],,,,['api'],0,0,,0
Acala Dollar,aUSD,CDP,['Acala'],0.0,[],,,,['api'],0,0,,0
Acala Euphrates,DOT,Yield,['Acala'],995369.5177037258,[],,,,['api'],0,0,,0
Acala LCDOT,DOT,Liquid Staking,['Acala'],9340037.956743406,[],,,,['api'],0,0,,0
Acala Liquid Staking,DOT,Liquid Staking,['Acala'],14401424.327463396,[],,,,['api'],0,0,,0
Acala Swap,ACA,Dexs,['Acala'],0.0,[],,,,['api'],0,0,,0
Access Protocol,ACS,SoFi,['Solana'],0.0,[],,,,['api'],0,0,,0
Accumulated Finance Lending,-,Lending,['Multi-Chain'],179761.88495899475,[],,,,['api'],0,0,,0
Accumulated Finance Liquid Staking,-,Liquid Staking,['Multi-Chain'],2209404.8762284014,[],,,,['api'],0,0,,0
Accumulator,-,Yield Aggregator,['ShimmerEVM'],5485.655534664952,[],,,,['api'],0,0,,0
Ace of Base,ACE,Farm,['Base'],26.415525493240622,[],,,,['api'],0,0,,0
Across,ACX,Cross Chain Bridge,['Ethereum'],79821700.26534301,[],,,,['api'],0,0,,0
Acumen,ACM,Lending,['Solana'],0.0,[],,,,['api'],0,0,,0
Ad-Astra Bridge,-,Bridge,['Ethereum'],4.625926948859999,[],,,,['api'],0,0,,0
AdaSwap,ASW,Dexs,['Milkomeda'],0.0,[],,,,['api'],0,0,,0
Adamant Finance,ADDY,Yield,['Multi-Chain'],602442.7986298411,[],,,,['api'],0,0,,0
Adena Finance,ADENA,Dexs,['Harmony'],112.73005521708082,[],,,,['api'],0,0,,0
Adrastea LRT,-,Liquid Restaking,['Solana'],9259449.187631749,[],,,,['api'],0,0,,0
Adrastea LST,-,Liquid Staking,['Solana'],10944369.481670167,[],,,,['api'],0,0,,0
Adrastea Restaking Operator,-,Staking Pool,['Solana'],31920866.5641989,[],,,,['api'],0,0,,0
Adrastea Validator,-,Staking Pool,['Solana'],50490529.94100974,[],,,,['api'],0,0,,0
Adrastea Yield,-,Yield,['Solana'],391277.7225165276,[],,,,['api'],0,0,,0
Adrena Protocol,ADX,Derivatives,['Solana'],17667571.217834067,[],,,,['api'],0,0,,0
Aegis,-,Basis Trading,['Multi-Chain'],34750484.02264912,[],,,,['api'],0,0,,0
Aelin,Aelin,Charity Fundraising,['Multi-Chain'],28486.88221378137,[],,,,['api'],0,0,,0
Aequinox,AEQ,Dexs,['Binance'],639228.6577662502,[],,,,['api'],0,0,,0
Aera V2,-,Onchain Capital Allocator,['Multi-Chain'],85609724.31716146,[],,,,['api'],0,0,,0
Aera V3,-,Onchain Capital Allocator,['Multi-Chain'],30681477.80179012,[],,,,['api'],0,0,,0
Aeria,-,Options Vault,['Base'],365.06267173288495,[],,,,['api'],0,0,,0
Aerie Lab,-,Dexs,['Ethereum'],0.0,[],,,,['api'],0,0,,0
Aerodrome Slipstream,AERO,Dexs,['Base'],270007192.5431923,[],,,,['api'],0,0,,0
Aerodrome V1,AERO,Dexs,['Base'],305794086.90816325,[],,,,['api'],0,0,,0
Aethir,ATH,Chain,['nan'],,[],,,,['api'],0,0,,0
Aevo Options,AEVO,Options,['nan'],,[],,,,['api'],0,0,,0
Aevo Perps,AEVO,Derivatives,['Multi-Chain'],34490211.329039276,[],,,,['api'],0,0,,0
Affine DeFi Earn,-,Yield Aggregator,['Multi-Chain'],52782.38633390556,[],,,,['api'],0,0,,0
Affine Restaking,-,Liquid Restaking,['Multi-Chain'],314787.9828233899,[],,,,['api'],0,0,,0
Affluent,-,Lending,['TON'],9945534.87016526,[],,,,['api'],0,0,,0
AfraSwap,AFRA,Dexs,['Binance'],645.1496091770617,[],,,,['api'],0,0,,0
Aftermath AMM,-,Dexs,['Sui'],20150646.20439473,[],,,,['api'],0,0,,0
Aftermath Aggregator,-,DEX Aggregator,['nan'],,[],,,,['api'],0,0,,0
Aftermath afSUI,-,Liquid Staking,['Sui'],25881348.16276704,[],,,,['api'],0,0,,0
AgarthaDAO,CLAVIS,Reserve Currency,['Avalanche'],0.0,[],,,,['api'],0,0,,0
Agave,AGVE,Lending,['xDai'],162439.0316698974,[],,,,['api'],0,0,,0
AgentFi,-,AI Agents,['Blast'],185522.3049359235,[],,,,['api'],0,0,,0
Aggre,-,DEX Aggregator,['nan'],,[],,,,['api'],0,0,,0
AggreLend,-,Yield Aggregator,['Solana'],383285.31029512186,[],,,,['api'],0,0,,0
Agile Finance,AGL,Lending,['Cronos'],0.0,[],,,,['api'],0,0,,0
Agility LSD,AGI,Indexes,['Ethereum'],44078.40643123461,[],,,,['api'],0,0,,0
Agni Finance,-,Dexs,['Mantle'],87095349.21587807,[],,,,['api'],0,0,,0
Agora,AGORA,Lending,['Metis'],13924.574414073626,[],,,,['api'],0,0,,0
Agus,AGUS,Dexs,['Multi-Chain'],0.1034295326138016,[],,,,['api'],0,0,,0
Aimbot,AIMBOT,Telegram Bot,['nan'],,[],,,,['api'],0,0,,0
AirDAO Bridge,-,Bridge,['Multi-Chain'],126708.74145025556,[],,,,['api'],0,0,,0
AirDAO Hera pool,-,Chain,['AirDAO'],1760.6942082007631,[],,,,['api'],0,0,,0
AirPuff,APUFF,Leveraged Farming,['Multi-Chain'],1169820.9712134704,[],,,,['api'],0,0,,0
AirSwap,AST,DEX Aggregator,['nan'],0.0,[],,,,['api'],0,0,,0
Ajira Pay Finance V1,AJP,Payments,['Multi-Chain'],37.14086269427953,[],,,,['api'],0,0,,0
Ajira Pay Finance V2,AJP,Payments,['Linea'],3878.66157096605,[],,,,['api'],0,0,,0
Ajna V1,AJNA,Lending,['Ethereum'],758827.6652697024,[],,,,['api'],0,0,,0
Ajna V2,AJNA,Lending,['Multi-Chain'],1043789.0612475454,[],,,,['api'],0,0,,0
Akiba Finance,AKIBA,Algo-Stables,['Kava'],0.0,[],,,,['api'],0,0,,0
AkitaSwap,-,Dexs,['Blast'],82061.80069268977,[],,,,['api'],0,0,,0
Akronswap,-,Dexs,['Multi-Chain'],3704.3823063165464,[],,,,['api'],0,0,,0
Akropolis,AKRO,Yield,['Ethereum'],0.0,[],,,,['api'],0,0,,0
Aktionariat,DAKS,RWA,['Multi-Chain'],9420279.251585588,[],,,,['api'],0,0,,0
Aladdin DAO,ALD,Yield Aggregator,['Ethereum'],48465.96797664958,[],,,,['api'],0,0,,0
Alchemist,MIST,Yield,['Ethereum'],645161.0414818368,[],,,,['api'],0,0,,0
Alchemix,ALCX,Synthetics,['Multi-Chain'],57289955.086885884,[],,,,['api'],0,0,,0
Alcor Exchange,-,Dexs,['Multi-Chain'],380541.75422046264,[],,,,['api'],0,0,,0
Aldrin,RIN,Dexs,['Solana'],844587.8414321108,[],,,,['api'],0,0,,0
Alephium Bridge,-,Bridge,['Multi-Chain'],2880534.646138259,[],,,,['api'],0,0,,0
AlfaFrens,-,SoFi,['Base'],9325.128449768436,[],,,,['api'],0,0,,0
Algebra DEX,ALGB,Dexs,['Polygon'],107598.34550479372,[],,,,['api'],0,0,,0
Algebra Integral,ALGB,Dexs,['nan'],,[],,,,['api'],0,0,,0
Algem,-,Liquid Staking,['Astar'],95830.88570681712,[],,,,['api'],0,0,,0
AlgoBlocks,ALGOBLK,Services,['Binance'],0.0,[],,,,['api'],0,0,,0
AlgoRai Finance,-,Options Vault,['Algorand'],22755.25643727325,[],,,,['api'],0,0,,0
Algodex,ALGX,Dexs,['Algorand'],6406.082813232726,[],,,,['api'],0,0,,0
Algofi Lend,-,Lending,['Algorand'],1023061.3576900668,[],,,,['api'],0,0,,0
Algofi Swap,-,Dexs,['Algorand'],90031.900849033,[],,,,['api'],0,0,,0
Algomint,goMINT,Algo-Stables,['Algorand'],362.4220137161257,[],,,,['api'],0,0,,0
Alien Base Area51,ALB,Dexs,['Base'],36184.554326320176,[],,,,['api'],0,0,,0
Alien Base StableSwap,ALB,Dexs,['Base'],2569.497797368176,[],,,,['api'],0,0,,0
Alien Base V2,ALB,Dexs,['Base'],6080671.518179558,[],,,,['api'],0,0,,0
Alien Base V3,ALB,Dexs,['Base'],9538940.65267278,[],,,,['api'],0,0,,0
Alien Finance,ALIEN,Lending,['Blast'],0.0,[],,,,['api'],0,0,,0
Alien Worlds,TLM,Gaming,['Wax'],138740.5727937589,[],,,,['api'],0,0,,0
AlienFi,ALIEN,Dexs,['Arbitrum'],152790.62699551985,[],,,,['api'],0,0,,0
AliensFarm,PAUL,Dexs,['Tezos'],1682.499328929057,[],,,,['api'],0,0,,0
Alita Finance,ALI,Dexs,['Binance'],269783.13969493035,[],,,,['api'],0,0,,0
Alium Swap,ALM,Dexs,['Binance'],24721.644696871233,[],,,,['api'],0,0,,0
Alkemi,ALK,Lending,['Ethereum'],270448.4643108523,[],,,,['api'],0,0,,0
Alkimi,ALKIMI,Services,['Sui'],0.0,[],,,,['api'],0,0,,0
Alkimiya,-,Derivatives,['Base'],12770.033098513217,[],,,,['api'],0,0,,0
AllInXSwap,X,Dexs,['Multi-Chain'],521.9540817158394,[],,,,['api'],0,0,,0
Allbridge Classic,ABR,Bridge,['Multi-Chain'],23559358.08011163,[],,,,['api'],0,0,,0
Allbridge Core,-,Bridge,['Multi-Chain'],23269885.53462987,[],,,,['api'],0,0,,0
Alligator,GTR,Dexs,['Avalanche'],12404.441498321094,[],,,,['api'],0,0,,0
Allinx,INX,Yield,['Binance'],0.0,[],,,,['api'],0,0,,0
Allspark,-,Derivatives,['zkLink'],2.35189438e-11,[],,,,['api'],0,0,,0
Allstake,-,Restaking,['Multi-Chain'],4122647.5775414743,[],,,,['api'],0,0,,0
Almanak,-,Onchain Capital Allocator,['Ethereum'],92615869.84932092,[],,,,['api'],0,0,,0
Almond,ALM,Yield,['Solana'],0.0,[],,,,['api'],0,0,,0
Aloe,-,Lending,['Multi-Chain'],195125.32661156013,[],,,,['api'],0,0,,0
Alongside,AMKT,Indexes,['Ethereum'],974365.3257214442,[],,,,['api'],0,0,,0
Alpaca City,ALPA,Yield,['Multi-Chain'],0.0,[],,,,['api'],0,0,,0
Alpaca Finance 2.0,ALPACA,Lending,['Binance'],19489614.63451408,[],,,,['api'],0,0,,0
Alpaca Leveraged Yield Farming,ALPACA,Leveraged Farming,['Multi-Chain'],46190126.14602848,[],,,,['api'],0,0,,0
Alpaca Perpetual Futures Exchange,ALPACA,Derivatives,['Binance'],80961.59153338369,[],,,,['api'],0,0,,0
AlphBanX,ABX,CDP,['Alephium'],1186332.020727269,[],,,,['api'],0,0,,0
AlphPad,APAD,Launchpad,['Alephium'],0.0,[],,,,['api'],0,0,,0
Alpha,BTC,SoFi,['NOS'],564415.9072338181,[],,,,['api'],0,0,,0
Alpha Arcade,ALPHA,Prediction Market,['Algorand'],218095.7443094245,[],,,,['api'],0,0,,0
AlphaFi Agg,ALPHA,Yield Aggregator,['Sui'],15428075.136755232,[],,,,['api'],0,0,,0
AlphaFi stSUI,ALPHA,Liquid Staking,['Sui'],28841744.70583496,[],,,,['api'],0,0,,0
AlphaLend,BLUE,Lending,['Sui'],97818610.25298224,[],,,,['api'],0,0,,0
AlphaPing,-,Risk Curators,['Ethereum'],42829839.073051855,[],,,,['api'],0,0,,0
AlphaX,-,Derivatives,['Multi-Chain'],6.125554,[],,,,['api'],0,0,,0
Alphadex,ROAR,Dexs,['Multi-Chain'],8561.98825042644,[],,,,['api'],0,0,,0
AltLayer,ALT,Developer Tools,['nan'],,[],,,,['api'],0,0,,0
Alternity,LCNY,CDP,['Ethereum'],18988.022583694375,[],,,,['api'],0,0,,0
Alterscope,-,Risk Curators,['Multi-Chain'],4889955.777835168,[],,,,['api'],0,0,,0
Altitude,ALTD,Cross Chain Bridge,['Multi-Chain'],69037.07876785236,[],,,,['api'],0,0,,0
Altitude.Fi,-,Lending,['Ethereum'],19060955.238506615,[],,,,['api'],0,0,,0
Altr Lend,-,Lending,['Polygon'],0.0,[],,,,['api'],0,0,,0
Alvey Dex,-,Dexs,['ALV'],6906.04301938529,[],,,,['api'],0,0,,0
Alyx finance,ALYX,Reserve Currency,['Binance'],1.861667319980016,[],,,,['api'],0,0,,0
Amana,-,Yield Aggregator,['ZetaChain'],186353.2729990558,[],,,,['api'],0,0,,0
Amaterasu Finance,IZA,Dexs,['Aurora'],13266.273805893765,[],,,,['api'],0,0,,0
Amber Finance,-,Lending,['Neutron'],377398.7586471301,[],,,,['api'],0,0,,0
Ambient,-,Dexs,['Multi-Chain'],12155059.052275049,[],,,,['api'],0,0,,0
Ambire Wallet,WALLET,Wallets,['Ethereum'],0.0,[],,,,['api'],0,0,,0
Ambit Finance,AMBT,Lending,['Binance'],136521.7022292473,[],,,,['api'],0,0,,0
AmesDefi,AMES,Algo-Stables,['Binance'],0.0,[],,,,['api'],0,0,,0
Amet Finance,-,Services,['Multi-Chain'],0.0,[],,,,['api'],0,0,,0
Ammos Finance,-,Dexs,['Mantle'],2977.9413744502704,[],,,,['api'],0,0,,0
Amnis Finance,AMI,Liquid Staking,['Aptos'],142227587.22571453,[],,,,['api'],0,0,,0
Amogus DAO,SUS,Reserve Currency,['Avalanche'],44.904114005683155,[],,,,['api'],0,0,,0
Amped Finance,AMPED,Derivatives,['Multi-Chain'],36629.40871373997,[],,,,['api'],0,0,,0
Ampere,AMP,Algo-Stables,['Fuse'],0.0,[],,,,['api'],0,0,,0
Amphor,-,Yield,['Ethereum'],2091148.7817470604,[],,,,['api'],0,0,,0
Amphora,AMPH,Lending,['Ethereum'],11157.29560404627,[],,,,['api'],0,0,,0
AmpleSwap,AMPLE,Dexs,['Multi-Chain'],27281.311942427452,[],,,,['api'],0,0,,0
AmplifyFinance,-,Yield,['Ethereum'],1.201859004703895,[],,,,['api'],0,0,,0
Amply Finance,preAMP,Lending,['Cronos zkEVM'],1774662.6038795372,[],,,,['api'],0,0,,0
Amulet Finance,-,Synthetics,['Neutron'],65433.554133870006,[],,,,['api'],0,0,,0
Amulet Liquidity Staking,-,Liquid Staking,['Solana'],563323.2000000001,[],,,,['api'],0,0,,0
Amulet V1,AMU,Insurance,['Solana'],0.0,[],,,,['api'],0,0,,0
Amulet V2,AMU,Yield Aggregator,['Multi-Chain'],119001.43858750282,[],,,,['api'],0,0,,0
Amun,AMUN,Indexes,['Multi-Chain'],379345.2414981505,[],,,,['api'],0,0,,0
Amy Finance,AMY,Lending,['Arbitrum'],0.0,[],,,,['api'],0,0,,0
Anchor,ANC,Lending,['Multi-Chain'],0.0,[],,,,['api'],0,0,,0
AnchorSwap,ANCHOR,Dexs,['Binance'],59352.12493027584,[],,,,['api'],0,0,,0
Ancient8,A8,Chain,['Ethereum'],1949926.7683153264,[],,,,['api'],0,0,,0
Ancient8 Swap,-,Dexs,['Ancient8'],135227.66373978008,[],,,,['api'],0,0,,0
Ancora Finance,ACR,Dexs,['Linea'],3148.5047970621818,[],,,,['api'],0,0,,0
Andromeada,-,Dexs,['Base'],81257.7064402377,[],,,,['api'],0,0,,0
Anedak,-,Dexs,['Kadena'],0.0,[],,,,['api'],0,0,,0
Anemoy Capital,-,RWA,['Multi-Chain'],345478069.7304818,[],,,,['api'],0,0,,0
Angel Protocol,HALO,Charity Fundraising,['Terra'],0.0,[],,,,['api'],0,0,,0
Angle,ANGLE,CDP,['Multi-Chain'],24776858.85522428,[],,,,['api'],0,0,,0
Angles Liquid,-,Onchain Capital Allocator,['Sonic'],2159.8892284322087,[],,,,['api'],0,0,,0
Angles Stake,-,Liquid Staking,['Sonic'],11242934.470676694,[],,,,['api'],0,0,,0
Angstrom,-,Dexs,['Ethereum'],5015711.607731331,[],,,,['api'],0,0,,0
Animal Farm V1,PIGS,Farm,['Binance'],2522.277181572509,[],,,,['api'],0,0,,0
Animal Farm V2,AFP,Yield,['Binance'],181.8909664387084,[],,,,['api'],0,0,,0
AnimeSwap,ANI,Dexs,['Multi-Chain'],19834.180947226418,[],,,,['api'],0,0,,0
Ankr,ANKR,Liquid Staking,['Multi-Chain'],64931240.65007048,[],,,,['api'],0,0,,0
Annex,ANN,Lending,['Multi-Chain'],3714.0932913035704,[],,,,['api'],0,0,,0
Anon Social,-,SoFi,['Base'],1984.6198198395,[],,,,['api'],0,0,,0
Anqa,-,DEX Aggregator,['nan'],,[],,,,['api'],0,0,,0
Ante Finance,-,Insurance,['Multi-Chain'],875033.9434578241,[],,,,['api'],0,0,,0
Antex,ANTEX,Launchpad,['Binance'],8406.798963699597,[],,,,['api'],0,0,,0
Antfarm finance,ATF,Liquidity manager,['Multi-Chain'],1483213.4006952804,[],,,,['api'],0,0,,0
AntiHero Finance,ANTI,Lending,['Arbitrum'],2.845070725745267,[],,,,['api'],0,0,,0
Antimatter,MATTER,Options,['Multi-Chain'],31996.018300907326,[],,,,['api'],0,0,,0
Anvil,ANVL,Collateral Management,['Ethereum'],77909411.33838171,[],,,,['api'],0,0,,0
AnyHedge,-,Derivatives,['Bitcoincash'],4863333.4799999995,[],,,,['api'],0,0,,0
Anzen V1,ANZ,RWA,['Ethereum'],6303.009492701017,[],,,,['api'],0,0,,0
Anzen V2,ANZ,RWA,['Multi-Chain'],115430875.6697069,[],,,,['api'],0,0,,0
ApStation,-,DEX Aggregator,['nan'],,[],,,,['api'],0,0,,0
Ape Express,-,Launchpad,['ApeChain'],110057.04475950742,[],,,,['api'],0,0,,0
Ape Finance,APEFI,Lending,['Ethereum'],55177.63935585243,[],,,,['api'],0,0,,0
Ape Jupiter,JUP,Launchpad,['nan'],,[],,,,['api'],0,0,,0
Ape.Store,-,Launchpad,['Multi-Chain'],256368.813123607,[],,,,['api'],0,0,,0
ApeBank,-,Lending,['ApeChain'],401248.51862455154,[],,,,['api'],0,0,,0
ApeBond Staking,ABOND,Farm,['Multi-Chain'],11654.720716479138,[],,,,['api'],0,0,,0
ApeBot,-,Telegram Bot,['nan'],,[],,,,['api'],0,0,,0
ApeChain Bridge,-,Bridge,['Ethereum'],4166242.104188853,[],,,,['api'],0,0,,0
ApeChainStake,-,Yield,['ApeChain'],0.0,[],,,,['api'],0,0,,0
ApeCoin,APE,Yield,['nan'],0.0,[],,,,['api'],0,0,,0
ApeDAO,vAPE,Farm,['Fantom'],39.42851364734691,[],,,,['api'],0,0,,0
ApeRocket,SPACE,Yield,['Binance'],51954.7918538105,[],,,,['api'],0,0,,0
ApeSwap AMM,ABOND,Dexs,['Multi-Chain'],13282647.95187281,[],,,,['api'],0,0,,0
ApeSwap Lending,ABOND,Lending,['Binance'],752411.2246767932,[],,,,['api'],0,0,,0
ApeX Pro,APEX,Derivatives,['Multi-Chain'],1494139.5743503284,[],,,,['api'],0,0,,0
