case_name,exploit_date,classification,technique,loss_usd,chain,bridgeHack,targetType,returnedFunds,defillamaId,language,source_url,parentProtocolId,exploit_dt,exploit_date_iso,case_id,protocol_id
Alchemix,6/16/21,Protocol Logic,Borrow Logic Exploit,6500000.0,Ethereum,False,DeFi Protocol,,204.0,Solidity,https://forum.alchemix.fi/public/d/137-incident-report-06162021,,2021-06-16,2021-06-16,alchemix__2021-06-16__9dbe0b48,defillama#204
Peapods Finance,7/8/25,Ecosystem,Oracle manipulation in user-created Pods,175000.0,Ethereum,False,DeFi Protocol,,,Solidity,https://x.com/peckshield/status/1942542084214513996,,2025-07-08,2025-07-08,peapods-finance__2025-07-08__98d7d1e5,name#peapods-finance
Gala,5/20/24,Protocol Logic,Infinite Mint and Dump,22000000.0,Ethereum,False,DeFi Protocol,,,Solidity,https://x.com/Thatguysgems/status/1792679865164128743,,2024-05-20,2024-05-20,gala__2024-05-20__473c809d,name#gala
Curio,3/25/24,Protocol Logic,Voting Power Inflation,16000000.0,Ethereum,False,DeFi Protocol,,,Solidity,https://x.com/CyversAlerts/status/1772216818645565673,,2024-03-25,2024-03-25,curio__2024-03-25__fed6942b,name#curio
Tender Finance,3/7/23,Ecosystem,Outdated Oracle Exploit,1600000.0,Arbitrum,False,DeFi Protocol,850000.0,2382.0,Solidity,https://twitter.com/wasgiventhatday/status/1633056446278426624?s=20,,2023-03-07,2023-03-07,tender-finance__2023-03-07__ddbcbf65,defillama#2382
Rivus DAO,9/16/24,Rugpull,Third-party Dev Backdoor Exploit,,Ethereum,False,DeFi Protocol,,4574.0,Solidity,https://x.com/RivusDAO/status/1835782524746015137,,2024-09-16,2024-09-16,rivus-dao__2024-09-16__421a9494,defillama#4574
HyperVault,9/26/25,Rugpull,Drain Vaults,3600000.0,Hyperliquid L1,False,DeFi Protocol,,6597.0,Solidity,https://x.com/PeckShieldAlert/status/1971476404173930660,,2025-09-26,2025-09-26,hypervault__2025-09-26__25cd6766,defillama#6597
pump.fun,5/16/24,Infrastructure,Private Key Compromised (Unknown Method),2000000.0,Solana,False,DeFi Protocol,,4449.0,Rust/Anchor,https://x.com/FrankResearcher/status/1791164323047293325,parent#pump,2024-05-16,2024-05-16,pump-fun__2024-05-16__f28f28a9,parent#pump
Polter Finance,11/16/24,Protocol Logic,Flashloan Price Oracle Attack,12000000.0,Fantom,False,DeFi Protocol,,4152.0,,https://cointelegraph.com/news/polter-finance-12m-hack-response,,2024-11-16,2024-11-16,polter-finance__2024-11-16__98fd9036,defillama#4152
Sirio Finance,2/1/25,Protocol Logic,Flashloan Exploit,2000000.0,Hedera,False,DeFi Protocol,,5706.0,Solidity,https://x.com/SirioFinance/status/1885800736967024957,,2025-02-01,2025-02-01,sirio-finance__2025-02-01__ae7720cd,defillama#5706
ValueDefi,5/7/21,Protocol Logic,Math Mistake Exploit,11000000.0,BSC,False,DeFi Protocol,,164.0,Solidity,https://twitter.com/FrankResearcher/status/1390905494844313602?s=20,parent#value-finance,2021-05-07,2021-05-07,valuedefi__2021-05-07__f5a4076a,parent#value-finance
Conic Finance,7/21/23,Ecosystem,Flashloan Reentrancy Attack,3200000.0,Ethereum,False,DeFi Protocol,,2616.0,Solidity,https://twitter.com/ConicFinance/status/1682385596700844032?t=4a-w-I06_7EcbwpKWbPZHA&s=19,,2023-07-21,2023-07-21,conic-finance__2023-07-21__3e54d0c9,defillama#2616
BurgerSwap,5/28/21,Ecosystem,Flashloan Reentrancy Attack,7200000.0,BSC,False,DeFi Protocol,,1295.0,,https://twitter.com/FrankResearcher/status/1398114924337971201?s=20&t=vVNaBlQNJ9WXRT54vvCZ8w,,2021-05-28,2021-05-28,burgerswap__2021-05-28__46580f35,defillama#1295
Furucombo,2/27/21,Smart Contract Language,Delegatecall Exploit,14000000.0,Ethereum,False,DeFi Protocol,,742.0,Solidity,https://twitter.com/Kurt_M_Barry/status/1365876788757471234?s=20&t=LObPnVPhVbkYv7U9e-AL7w,,2021-02-27,2021-02-27,furucombo__2021-02-27__59b2feb1,defillama#742
JayPegs Automart,9/17/21,Rugpull,Redirected Deposits,3100000.0,Ethereum,False,DeFi Protocol,,,,https://rekt.news/jaypegs-automart-rekt/,,2021-09-17,2021-09-17,jaypegs-automart__2021-09-17__dd157e6d,name#jaypegs-automart
Lava,10/4/24,Protocol Logic,Flashloan Exploit,130000.0,Arbitrum,False,DeFi Protocol,,4241.0,Solidity,https://x.com/rotcivegaf/status/1842301803750470003,,2024-10-04,2024-10-04,lava__2024-10-04__f81367e2,defillama#4241
Nobitex,6/18/25,Infrastructure,Hot wallet hack,82000000.0,"Tron,Ethereum,BSC,Avalanche,Arbitrum,Polygon,Bitcoin",False,CEX,,,,https://x.com/QuillAudits_AI/status/1935237054155444611,,2025-06-18,2025-06-18,nobitex__2025-06-18__d12e5274,name#nobitex
Hedgey,4/19/24,Ecosystem,Claim Contract Flashloan Exploit,44700000.0,"Arbitrum,Ethereum",False,DeFi Protocol,,,Solidity,https://twitter.com/hedgeyfinance/status/1781257581488418862,,2024-04-19,2024-04-19,hedgey__2024-04-19__360c569d,name#hedgey
Harvest Finance,10/26/20,Ecosystem,Flashloan Price Oracle Attack,25000000.0,Ethereum,False,DeFi Protocol,,112.0,Solidity,https://rekt.news/harvest-finance-rekt/,,2020-10-26,2020-10-26,harvest-finance__2020-10-26__f9465a15,defillama#112
Yearn Ether,11/30/25,Protocol Logic,yETH stablepool Exploit,9000000.0,Ethereum,False,DeFi Protocol,,3973.0,Solidity,https://x.com/Togbe0x/status/1995240261816070482,parent#yearn,2025-11-30,2025-11-30,yearn-ether__2025-11-30__d2161d53,parent#yearn
Hedera,3/10/23,Protocol Logic,Unknown,515000.0,Hedera,False,DeFi Protocol,,,,https://rekt.news/hedera-rekt/,,2023-03-10,2023-03-10,hedera__2023-03-10__7349a265,name#hedera
Poloniex,11/10/23,Infrastructure,Private Key Compromised (Unknown Method),126000000.0,"Tron,Ethereum,Bitcoin",False,CEX,,,,https://twitter.com/peckshield/status/1722931275764474329,,2023-11-10,2023-11-10,poloniex__2023-11-10__ca39185b,name#poloniex
LeadBlock's Morpho Blue Market,10/14/24,Protocol Logic,Oracle Misconfiguration Exploit,250000.0,Ethereum,False,DeFi Protocol,,,Solidity,https://x.com/omeragoldberg/status/1845515843787960661,,2024-10-14,2024-10-14,leadblock-s-morpho-blue-market__2024-10-14__17ba573c,name#leadblock-s-morpho-blue-market
Vesper Finance,11/3/21,Protocol Logic,Oracle Manipulation,3370000.0,Ethereum,False,DeFi Protocol,,,Solidity,https://x.com/VesperFi/status/1455567032536248324,,2021-11-03,2021-11-03,vesper-finance__2021-11-03__56b15271,name#vesper-finance
Mango Markets V3,10/11/22,Ecosystem,Price Oracle Attack,115000000.0,Solana,False,DeFi Protocol,,286.0,Rust,https://twitter.com/joshua_j_lim/status/1579987648546246658?s=20&t=AFj8CwRWo5dFo_A1-A-18Q,parent#mango-markets,2022-10-11,2022-10-11,mango-markets-v3__2022-10-11__615785de,parent#mango-markets
Truflation,9/25/24,Infrastructure,Private Key Compromised (Malware),5000000.0,,False,Other,,,,https://www.theblock.co/post/318209/coinbase-ventures-backed-truflation-hacked-for-about-5-million-says-zachxbt,,2024-09-25,2024-09-25,truflation__2024-09-25__19edfc1c,name#truflation
SudoRare,8/23/22,Rugpull,Drained Contracts,800000.0,Ethereum,False,DeFi Protocol,,,Solidity,https://www.theblock.co/post/164970/nft-exchange-sudorare-suffers-800000-rug-pull-six-hours-after-launch,,2022-08-23,2022-08-23,sudorare__2022-08-23__a2cb6a93,name#sudorare
Steadefi,8/8/23,Protocol Logic,Deployer Wallet Compromised,1157000.0,Ethereum,False,DeFi Protocol,,2972.0,,https://twitter.com/steadefi/status/1688919583707877376,,2023-08-08,2023-08-08,steadefi__2023-08-08__53cd91a5,defillama#2972
Crypto.com,1/18/22,Infrastructure,Private Key Compromised (Unknown Method),33700000.0,"Ethereum,Bitcoin",False,CEX,,,,https://rekt.news/cryptocom-rekt/,,2022-01-18,2022-01-18,crypto-com__2022-01-18__d2f0cefe,name#crypto-com
0G Labs,12/11/25,Protocol Logic,emergencyWithdraw Function Exploit,516000.0,0G,False,DeFi Protocol,,,Solidity,https://x.com/CertiKAlert/status/1999481982858715247,,2025-12-11,2025-12-11,0g-labs__2025-12-11__8dacdd85,name#0g-labs
Dexible V2,2/20/23,Protocol Logic,Arbitrary External Call,2000000.0,"Ethereum,Arbitrum",False,DeFi Protocol,,2249.0,Solidity,https://twitter.com/RektHQ/status/1628030868043300865,,2023-02-20,2023-02-20,dexible-v2__2023-02-20__24b825c8,defillama#2249
Ooki,2/15/20,Protocol Logic,Flashloan Slippage Attack,350000.0,Ethereum,False,DeFi Protocol,,197.0,,https://www.coinbase.com/blog/around-the-block-analysis-on-the-bzx-attack-defi-vulnerabilities-the-state-of-debit-cards-in,,2020-02-15,2020-02-15,ooki__2020-02-15__6a1f3b12,defillama#197
Bond Protocol,10/21/22,Protocol Logic,Arbitrary External Call,300000.0,Ethereum,False,DeFi Protocol,,2697.0,Solidity,https://twitter.com/Supremacy_CA/status/1583425026094641153,,2022-10-21,2022-10-21,bond-protocol__2022-10-21__98f95a04,defillama#2697
Portal,2/2/22,Protocol Logic,Signature Exploit,326000000.0,Solana,True,DeFi Protocol,326000000.0,1541.0,Rust,https://twitter.com/samczsun/status/1489044939732406275?s=20&t=kfhTtvHGRyDbj-2P7f_hpA,,2022-02-02,2022-02-02,portal__2022-02-02__56d6f7ae,defillama#1541
Moola Market,10/18/22,Ecosystem,Price Oracle Attack,8400000.0,Celo,False,DeFi Protocol,,489.0,Solidity,https://twitter.com/FrankResearcher/status/1582448720985014273?s=20&t=vRg4YjjP30kMjt_V7I0gfg,,2022-10-18,2022-10-18,moola-market__2022-10-18__e49e48ea,defillama#489
FutureSwap,12/16/25,Protocol Logic,Flashloan Governance Attack,270000.0,Ethereum,False,DeFi Protocol,,228.0,Solidity,https://x.com/tenarmoralert/status/2001116475424133536,,2025-12-16,2025-12-16,futureswap__2025-12-16__0e04c582,defillama#228
Cover Protocol,12/29/20,Protocol Logic,Incentives Function Mistake,9400000.0,Ethereum,False,DeFi Protocol,,165.0,Solidity,https://coverprotocol.medium.com/12-28-post-mortem-34c5f9f718d4,,2020-12-29,2020-12-29,cover-protocol__2020-12-29__7c87c93f,defillama#165
Port3 Network,11/23/25,Protocol Logic,Infinite Mint and Dump,166000.0,BSC,False,DeFi Protocol,,,Solidity,https://x.com/Port3Network/status/1992471015948210277,,2025-11-23,2025-11-23,port3-network__2025-11-23__26ca622c,name#port3-network
NowSwap,9/15/21,Protocol Logic,Inconsistent Value in Code,1000000.0,Ethereum,False,DeFi Protocol,,,Solidity,https://x.com/BlockSecTeam/status/1438100688215560192,,2021-09-15,2021-09-15,nowswap__2021-09-15__08f1c813,name#nowswap
XBridge,4/24/24,Infrastructure,,1800000.0,"Ethereum,BSC",True,DeFi Protocol,,,Solidity,,,2024-04-24,2024-04-24,xbridge__2024-04-24__1ce3f0e4,name#xbridge
BNS,2/1/22,Infrastructure,Private Key Compromised (Unknown Method),7500000.0,,False,CEX,,,,https://twitter.com/zachxbt/status/1630665458134163476,,2022-02-01,2022-02-01,bns__2022-02-01__f6d5128c,name#bns
CoinEx,9/12/23,Infrastructure,Private Key Compromised (Unknown Method),55000000.0,"Ethereum,BSC,Bitcoin,Tron,Kadena,Solana,Dagger,XRP,BitcoinCash,Polygon,Stellar,Arbitrum",False,CEX,,,,https://www.coindesk.com/tech/2023/09/13/north-korean-attackers-linked-to-54m-coinex-hack-blockchain-data-suggests/,,2023-09-12,2023-09-12,coinex__2023-09-12__5edeab27,name#coinex
ZKsync,4/15/25,Infrastructure,Private Key Compromised (Unknown Method),5000000.0,zkSync Era,False,Other,,,Vyper,https://x.com/WuBlockchain/status/1912142777229754611,,2025-04-15,2025-04-15,zksync__2025-04-15__ed28162c,name#zksync
Orange Finance,1/8/25,Infrastructure,Private Key Compromised (Unknown Method),840000.0,Arbitrum,False,DeFi Protocol,,3422.0,Solidity,https://x.com/0xorangefinance/status/1876863611458801890,,2025-01-08,2025-01-08,orange-finance__2025-01-08__50dc5a13,defillama#3422
Tapioca DAO,10/18/24,Protocol Logic,Private Key Compromised (Social Engineering),4700000.0,Arbitrum,False,DeFi Protocol,,,Solidity,https://x.com/tapioca_dao/status/1847330264139145361,,2024-10-18,2024-10-18,tapioca-dao__2024-10-18__568b9630,name#tapioca-dao
Kinto Bridge,7/10/25,Protocol Logic,ERC1967Proxy Backdoor Hijack,1550000.0,Arbitrum,False,DeFi Protocol,,4336.0,Solidity,https://x.com/ramonrecuero/status/1943426114468352006,parent#kinto,2025-07-10,2025-07-10,kinto-bridge__2025-07-10__bc5e760d,parent#kinto
KyberSwap Classic,9/1/22,Infrastructure,Cloudflare Key Compromised,265000.0,Polygon,False,DeFi Protocol,,127.0,,https://blog.kyberswap.com/post-mortem-past-kyberswap-frontend-exploit-sept-2022/,parent#kyberswap,2022-09-01,2022-09-01,kyberswap-classic__2022-09-01__0efdb8d4,parent#kyberswap
Skyward Finance,11/2/22,Protocol Logic,Reentrancy,3000000.0,Near,False,DeFi Protocol,,,Rust,https://twitter.com/skywardfinance/status/1587947957789331457,,2022-11-02,2022-11-02,skyward-finance__2022-11-02__b8a3574b,name#skyward-finance
Exactly,8/18/23,Protocol Logic,DebtManager Exploit,7200000.0,Optimism,False,DeFi Protocol,,2385.0,Solidity,https://twitter.com/DeDotFiSecurity/status/1692549866713407912,,2023-08-18,2023-08-18,exactly__2023-08-18__b917380d,defillama#2385
Upbit,11/26/25,Infrastructure,Private Key Compromised,36000000.0,Solana,False,CEX,,,,https://x.com/layerggofficial/status/1993893233064333343,,2025-11-26,2025-11-26,upbit__2025-11-26__43704433,name#upbit
Popsicle Finance,8/3/21,Ecosystem,Flashloan Incentive Rewards Exploit,20000000.0,Ethereum,False,DeFi Protocol,,585.0,Solidity,https://twitter.com/Mudit__Gupta/status/1422797923037814786?s=20&t=bZ-0VnJ8b4SQbx5PkaOGYg,,2021-08-03,2021-08-03,popsicle-finance__2021-08-03__eb9a2690,defillama#585
Qubit,1/28/22,Protocol Logic,Transfer Logic Exploit,80000000.0,BSC,True,DeFi Protocol,,516.0,Solidity,https://medium.com/@QubitFin/protocol-exploit-report-305c34540fa3,,2022-01-28,2022-01-28,qubit__2022-01-28__8ed84f4d,defillama#516
Bald,8/2/23,Rugpull,Drained Liquidity Pool,23000000.0,Base,False,DeFi Protocol,,,,https://x.com/PeckShieldAlert/status/1686225428649062400,,2023-08-02,2023-08-02,bald__2023-08-02__6155b090,name#bald
Odin.Fun,8/12/25,Protocol Logic,Liquidity Manipulation Exploit,7000000.0,ICP,False,DeFi Protocol,,,Motoko,https://uk.finance.yahoo.com/news/memecoin-launchpad-odin-fun-suffers-103510880.html,,2025-08-12,2025-08-12,odin-fun__2025-08-12__ca7b24e5,name#odin-fun
OcelotDex,9/20/24,Protocol Logic,Infinite Mint and Dump,4900000.0,Ethereum,False,DeFi Protocol,,4095.0,Solidity,https://x.com/BlockscopeInc/status/1839049867987206329,,2024-09-20,2024-09-20,ocelotdex__2024-09-20__dc33eae0,defillama#4095
Tectonic,2/22/24,Protocol Logic,Flashloan New Market Exploit,250000.0,Cronos,False,DeFi Protocol,,1115.0,Solidity,https://cronoscan.com/tx/0x4c4584a57e5487a06e61c815c7ee368656ad58bd38774184eadcd97072dc1e4b,,2024-02-22,2024-02-22,tectonic__2024-02-22__444d99c3,defillama#1115
ApeRocket,7/14/21,Ecosystem,Flashloan Incentive Rewards Exploit,1260000.0,BSC,False,DeFi Protocol,,401.0,,https://www.google.com/search?q=aperocketfi+hack&oq=aperocketfi+hack&aqs=chrome..69i57j33i10i160j33i21.3640j0j4&sourceid=chrome&ie=UTF-8,,2021-07-14,2021-07-14,aperocket__2021-07-14__b8cb1e74,defillama#401
MonoX,11/30/21,Protocol Logic,Swap Function Exploit,31400000.0,"Ethereum,Polygon",False,DeFi Protocol,,948.0,Solidity,https://twitter.com/BlockSecTeam/status/1465690478414761992,,2021-11-30,2021-11-30,monox__2021-11-30__28616131,defillama#948
Hyperdrive HL,9/27/25,Protocol Logic,Router Exploit,773000.0,Hyperliquid L1,False,DeFi Protocol,,6298.0,Solidity,https://x.com/PeckShieldAlert/status/1972119238178754651,,2025-09-27,2025-09-27,hyperdrive-hl__2025-09-27__fdef03de,defillama#6298
Radiant V2,10/16/24,Protocol Logic,Access Control Exploit,53000000.0,"BSC,Arbitrum",False,DeFi Protocol,,2706.0,Solidity,https://x.com/AnciliaInc/status/1846618258163761551,parent#radiant,2024-10-16,2024-10-16,radiant-v2__2024-10-16__af6b8c7a,parent#radiant
SBI Crypto,9/24/25,Infrastructure,,24000000.0,"Bitcoin,Ethereum,Litecoin,Doge,BitcoinCash",False,Other,,,,https://www.coindesk.com/business/2025/10/01/sbi-crypto-reportedly-hit-by-usd21m-hack-with-suspected-dprk-links,,2025-09-24,2025-09-24,sbi-crypto__2025-09-24__a6109dbc,name#sbi-crypto
Abracadabra Spell,10/4/25,Protocol Logic,Sequential State Manipulation Exploit,1700000.0,Ethereum,False,DeFi Protocol,,347.0,Solidity,https://x.com/Phalcon_xyz/status/1974533451408986417,parent#abracadabra,2025-10-04,2025-10-04,abracadabra-spell__2025-10-04__391ee0ed,parent#abracadabra
OlaXBT,9/1/25,Ecosystem,Multisig wallet Social Engineering Exploit,2000000.0,BSC,False,DeFi Protocol,,,Solidity,https://x.com/CertiKAlert/status/1962439772280094975,,2025-09-01,2025-09-01,olaxbt__2025-09-01__dd160187,name#olaxbt
EasyFi,4/19/21,Infrastructure,Private Key Compromised (Unknown Method),59000000.0,Polygon,False,DeFi Protocol,,,,https://medium.com/easify-network/easyfi-security-incident-pre-post-mortem-33f2942016e9,,2021-04-19,2021-04-19,easyfi__2021-04-19__9a73ea8d,name#easyfi
Binance Bridge,10/6/22,Protocol Logic,Proof Verifier Bug,570000000.0,BSC,True,DeFi Protocol,,,,https://twitter.com/samczsun/status/1578167198203289600,,2022-10-06,2022-10-06,binance-bridge__2022-10-06__abb3d3d7,name#binance-bridge
