name,exploit_date,classification,technique,loss_usd,chain,bridgeHack,targetType,returnedFunds,defillamaId,language,source_url,parentProtocolId,extra_source,extra_attack_method,extra_loss_usd,extra_protocol,extra_date
Saddle Finance,4/30/22,Ecosystem,Flashloan Swap Logic Exploit,11000000,Ethereum,FALSE,DeFi Protocol,,202,Solidity,https://rekt.news/saddle-finance-rekt2/,,ChainSec,,7.0,Saddle Finance,2022-04-30
Nomad,8/1/22,Protocol Logic,Trusted Root Exploit,190000000,Ethereum,TRUE,DeFi Protocol,,1682,Solidity,https://twitter.com/samczsun/status/1554252024723546112?s=20&t=mesLZTckBsl_X2_KbGcEHQ,,,,,,
Elephant Money,4/12/22,Ecosystem,Flashloan Price Oracle Attack,22200000,BSC,FALSE,DeFi Protocol,,1378,Solidity,https://twitter.com/BlockSecTeam/status/1513966074357698563,,,,,,
Euler V1,3/13/23,Protocol Logic,Flashloan Donate Function Logic Exploit,197000000,Ethereum,FALSE,DeFi Protocol,240000000,1183,Solidity,https://twitter.com/peckshield/status/1635229594596036608?s=20,parent#euler,,,,,
Unleash Protocol,12/30/25,Protocol Logic,Multisig Governance Hack,3900000,Story,FALSE,DeFi Protocol,,5793,Solidity,https://x.com/UnleashProtocol/status/2005907998691229933,,SlowMist,"Privilege compromise View Reference Sources 2025-12-29 Hacked target: MSCST Description of the event: On the BSC network, an unknown smart contract MSCST suffered a flash loan attack, resulting in an estimated loss of approximately $130,000. The root cause of the exploit lies in the lack of access control (ACL) within the releaseReward() function of the MSCST contract, which allowed the attacker to manipulate the price of the GPC token in the PancakeSwap liquidity pool (address: 0x12da). Amount of",3900000.0,Unleash Protocol,2025-12-30
Orion Pools,2/2/23,Protocol Logic,Reentrancy,3000000,BSC,FALSE,DeFi Protocol,,496,Solidity,https://twitter.com/peckshield/status/1621337925228306433?s=20&t=ZroERzkeCrxy3gHxtboQeA,parent#orion-protocol,,,,,
DIMO,11/7/25,Protocol Logic,Private Key Compromised,40000,Ethereum,TRUE,DeFi Protocol,,,,https://x.com/DIMO_Network/status/1986847282889957391,,,,,,
Locus Finance,12/30/23,Infrastructure,Private Key Compromised (Unknown Method),321000,"Ethereum,Arbitrum",FALSE,DeFi Protocol,,3371,,https://twitter.com/Locus_finance/status/1744374506267767267,,,,,,
Abracadabra Spell,1/30/24,Protocol Logic,Borrow Logic Exploit,6500000,Ethereum,FALSE,DeFi Protocol,,347,Solidity,https://twitter.com/peckshield/status/1752279373779194011,parent#abracadabra,,,,,
DEUS Finance,4/28/22,Ecosystem,Flashloan Price Oracle Attack,13400000,Fantom,FALSE,DeFi Protocol,,1387,Solidity,https://twitter.com/peckshield/status/1519530463337250817?s=20&t=Mr6sVLBWq_A0ej9Y3-qstA,,ChainSec,,13400000.0,Deus Finance,2022-04-28
Level Perps,5/1/23,Protocol Logic,Referral Claims Logic Exploit,1000000,BSC,FALSE,DeFi Protocol,,2395,Solidity,https://twitter.com/peckshield/status/1653149493133729794?t=ojjCnRcDogo3lOKIy8cKgA&s=19,parent#level-finance,,,,,
CoinSpot,11/9/23,Infrastructure,Private Key Compromised (Unknown Method),2400000,Ethereum,FALSE,CEX,,,,https://twitter.com/PeckShieldAlert/status/1722412658404843691,,,,,,
Alchemix,6/16/21,Protocol Logic,Borrow Logic Exploit,6500000,Ethereum,FALSE,DeFi Protocol,,204,Solidity,https://forum.alchemix.fi/public/d/137-incident-report-06162021,,ChainSec,,6500000.0,Alchemix,2021-06-16
Peapods Finance,7/8/25,Ecosystem,Oracle manipulation in user-created Pods,175000,Ethereum,FALSE,DeFi Protocol,,,Solidity,https://x.com/peckshield/status/1942542084214513996,,,,,,
Gala,5/20/24,Protocol Logic,Infinite Mint and Dump,22000000,Ethereum,FALSE,DeFi Protocol,,,Solidity,https://x.com/Thatguysgems/status/1792679865164128743,,,,,,
Curio,3/25/24,Protocol Logic,Voting Power Inflation,16000000,Ethereum,FALSE,DeFi Protocol,,,Solidity,https://x.com/CyversAlerts/status/1772216818645565673,,,,,,
Tender Finance,3/7/23,Ecosystem,Outdated Oracle Exploit,1600000,Arbitrum,FALSE,DeFi Protocol,850000,2382,Solidity,https://twitter.com/wasgiventhatday/status/1633056446278426624?s=20,,,,,,
Rivus DAO,9/16/24,Rugpull,Third-party Dev Backdoor Exploit,,Ethereum,FALSE,DeFi Protocol,,4574,Solidity,https://x.com/RivusDAO/status/1835782524746015137,,,,,,
HyperVault,9/26/25,Rugpull,Drain Vaults,3600000,Hyperliquid L1,FALSE,DeFi Protocol,,6597,Solidity,https://x.com/PeckShieldAlert/status/1971476404173930660,,,,,,
pump.fun,5/16/24,Infrastructure,Private Key Compromised (Unknown Method),2000000,Solana,FALSE,DeFi Protocol,,4449,Rust/Anchor,https://x.com/FrankResearcher/status/1791164323047293325,parent#pump,,,,,
Polter Finance,11/16/24,Protocol Logic,Flashloan Price Oracle Attack,12000000,Fantom,FALSE,DeFi Protocol,,4152,,https://cointelegraph.com/news/polter-finance-12m-hack-response,,,,,,
Sirio Finance,2/1/25,Protocol Logic,Flashloan Exploit,2000000,Hedera,FALSE,DeFi Protocol,,5706,Solidity,https://x.com/SirioFinance/status/1885800736967024957,,,,,,
ValueDefi,5/7/21,Protocol Logic,Math Mistake Exploit,11000000,BSC,FALSE,DeFi Protocol,,164,Solidity,https://twitter.com/FrankResearcher/status/1390905494844313602?s=20,parent#value-finance,,,,,
Conic Finance,7/21/23,Ecosystem,Flashloan Reentrancy Attack,3200000,Ethereum,FALSE,DeFi Protocol,,2616,Solidity,https://twitter.com/ConicFinance/status/1682385596700844032?t=4a-w-I06_7EcbwpKWbPZHA&s=19,,,,,,
BurgerSwap,5/28/21,Ecosystem,Flashloan Reentrancy Attack,7200000,BSC,FALSE,DeFi Protocol,,1295,,https://twitter.com/FrankResearcher/status/1398114924337971201?s=20&t=vVNaBlQNJ9WXRT54vvCZ8w,,ChainSec,,7200000.0,BurgerSwap,2021-05-28
Furucombo,2/27/21,Smart Contract Language,Delegatecall Exploit,14000000,Ethereum,FALSE,DeFi Protocol,,742,Solidity,https://twitter.com/Kurt_M_Barry/status/1365876788757471234?s=20&t=LObPnVPhVbkYv7U9e-AL7w,,,,,,
JayPegs Automart,9/17/21,Rugpull,Redirected Deposits,3100000,Ethereum,FALSE,DeFi Protocol,,,,https://rekt.news/jaypegs-automart-rekt/,,,,,,
Lava,10/4/24,Protocol Logic,Flashloan Exploit,130000,Arbitrum,FALSE,DeFi Protocol,,4241,Solidity,https://x.com/rotcivegaf/status/1842301803750470003,,,,,,
Nobitex,6/18/25,Infrastructure,Hot wallet hack,82000000,"Tron,Ethereum,BSC,Avalanche,Arbitrum,Polygon,Bitcoin",FALSE,CEX,,,,https://x.com/QuillAudits_AI/status/1935237054155444611,,,,,,
Hedgey,4/19/24,Ecosystem,Claim Contract Flashloan Exploit,44700000,"Arbitrum,Ethereum",FALSE,DeFi Protocol,,,Solidity,https://twitter.com/hedgeyfinance/status/1781257581488418862,,,,,,
Harvest Finance,10/26/20,Ecosystem,Flashloan Price Oracle Attack,25000000,Ethereum,FALSE,DeFi Protocol,,112,Solidity,https://rekt.news/harvest-finance-rekt/,,ChainSec,,24000000.0,Harvest Finance,2020-10-26
Yearn Ether,11/30/25,Protocol Logic,yETH stablepool Exploit,9000000,Ethereum,FALSE,DeFi Protocol,,3973,Solidity,https://x.com/Togbe0x/status/1995240261816070482,parent#yearn,,,,,
Hedera,3/10/23,Protocol Logic,Unknown,515000,Hedera,FALSE,DeFi Protocol,,,,https://rekt.news/hedera-rekt/,,,,,,
Poloniex,11/10/23,Infrastructure,Private Key Compromised (Unknown Method),126000000,"Tron,Ethereum,Bitcoin",FALSE,CEX,,,,https://twitter.com/peckshield/status/1722931275764474329,,,,,,
LeadBlock's Morpho Blue Market,10/14/24,Protocol Logic,Oracle Misconfiguration Exploit,250000,Ethereum,FALSE,DeFi Protocol,,,Solidity,https://x.com/omeragoldberg/status/1845515843787960661,,,,,,
Vesper Finance,11/3/21,Protocol Logic,Oracle Manipulation,3370000,Ethereum,FALSE,DeFi Protocol,,,Solidity,https://x.com/VesperFi/status/1455567032536248324,,,,,,
Mango Markets V3,10/11/22,Ecosystem,Price Oracle Attack,115000000,Solana,FALSE,DeFi Protocol,,286,Rust,https://twitter.com/joshua_j_lim/status/1579987648546246658?s=20&t=AFj8CwRWo5dFo_A1-A-18Q,parent#mango-markets,,,,,
Truflation,9/25/24,Infrastructure,Private Key Compromised (Malware),5000000,,FALSE,Other,,,,https://www.theblock.co/post/318209/coinbase-ventures-backed-truflation-hacked-for-about-5-million-says-zachxbt,,,,,,
SudoRare,8/23/22,Rugpull,Drained Contracts,800000,Ethereum,FALSE,DeFi Protocol,,,Solidity,https://www.theblock.co/post/164970/nft-exchange-sudorare-suffers-800000-rug-pull-six-hours-after-launch,,,,,,
Steadefi,8/8/23,Protocol Logic,Deployer Wallet Compromised,1157000,Ethereum,FALSE,DeFi Protocol,,2972,,https://twitter.com/steadefi/status/1688919583707877376,,,,,,
Crypto.com,1/18/22,Infrastructure,Private Key Compromised (Unknown Method),33700000,"Ethereum,Bitcoin",FALSE,CEX,,,,https://rekt.news/cryptocom-rekt/,,,,,,
0G Labs,12/11/25,Protocol Logic,emergencyWithdraw Function Exploit,516000,0G,FALSE,DeFi Protocol,,,Solidity,https://x.com/CertiKAlert/status/1999481982858715247,,,,,,
Dexible V2,2/20/23,Protocol Logic,Arbitrary External Call,2000000,"Ethereum,Arbitrum",FALSE,DeFi Protocol,,2249,Solidity,https://twitter.com/RektHQ/status/1628030868043300865,,,,,,
Ooki,2/15/20,Protocol Logic,Flashloan Slippage Attack,350000,Ethereum,FALSE,DeFi Protocol,,197,,https://www.coinbase.com/blog/around-the-block-analysis-on-the-bzx-attack-defi-vulnerabilities-the-state-of-debit-cards-in,,,,,,
Bond Protocol,10/21/22,Protocol Logic,Arbitrary External Call,300000,Ethereum,FALSE,DeFi Protocol,,2697,Solidity,https://twitter.com/Supremacy_CA/status/1583425026094641153,,,,,,
Portal,2/2/22,Protocol Logic,Signature Exploit,326000000,Solana,TRUE,DeFi Protocol,326000000,1541,Rust,https://twitter.com/samczsun/status/1489044939732406275?s=20&t=kfhTtvHGRyDbj-2P7f_hpA,,,,,,
Moola Market,10/18/22,Ecosystem,Price Oracle Attack,8400000,Celo,FALSE,DeFi Protocol,,489,Solidity,https://twitter.com/FrankResearcher/status/1582448720985014273?s=20&t=vRg4YjjP30kMjt_V7I0gfg,,,,,,
FutureSwap,12/16/25,Protocol Logic,Flashloan Governance Attack,270000,Ethereum,FALSE,DeFi Protocol,,228,Solidity,https://x.com/tenarmoralert/status/2001116475424133536,,,,,,
Cover Protocol,12/29/20,Protocol Logic,Incentives Function Mistake,9400000,Ethereum,FALSE,DeFi Protocol,,165,Solidity,https://coverprotocol.medium.com/12-28-post-mortem-34c5f9f718d4,,,,,,
Port3 Network,11/23/25,Protocol Logic,Infinite Mint and Dump,166000,BSC,FALSE,DeFi Protocol,,,Solidity,https://x.com/Port3Network/status/1992471015948210277,,,,,,
NowSwap,9/15/21,Protocol Logic,Inconsistent Value in Code,1000000,Ethereum,FALSE,DeFi Protocol,,,Solidity,https://x.com/BlockSecTeam/status/1438100688215560192,,,,,,
XBridge,4/24/24,Infrastructure,,1800000,"Ethereum,BSC",TRUE,DeFi Protocol,,,Solidity,,,,,,,
BNS,2/1/22,Infrastructure,Private Key Compromised (Unknown Method),7500000,,FALSE,CEX,,,,https://twitter.com/zachxbt/status/1630665458134163476,,,,,,
CoinEx,9/12/23,Infrastructure,Private Key Compromised (Unknown Method),55000000,"Ethereum,BSC,Bitcoin,Tron,Kadena,Solana,Dagger,XRP,BitcoinCash,Polygon,Stellar,Arbitrum",FALSE,CEX,,,,https://www.coindesk.com/tech/2023/09/13/north-korean-attackers-linked-to-54m-coinex-hack-blockchain-data-suggests/,,,,,,
ZKsync,4/15/25,Infrastructure,Private Key Compromised (Unknown Method),5000000,zkSync Era,FALSE,Other,,,Vyper,https://x.com/WuBlockchain/status/1912142777229754611,,,,,,
Orange Finance,1/8/25,Infrastructure,Private Key Compromised (Unknown Method),840000,Arbitrum,FALSE,DeFi Protocol,,3422,Solidity,https://x.com/0xorangefinance/status/1876863611458801890,,,,,,
Tapioca DAO,10/18/24,Protocol Logic,Private Key Compromised (Social Engineering),4700000,Arbitrum,FALSE,DeFi Protocol,,,Solidity,https://x.com/tapioca_dao/status/1847330264139145361,,,,,,
Kinto Bridge,7/10/25,Protocol Logic,ERC1967Proxy Backdoor Hijack,1550000,Arbitrum,FALSE,DeFi Protocol,,4336,Solidity,https://x.com/ramonrecuero/status/1943426114468352006,parent#kinto,,,,,
KyberSwap Classic,9/1/22,Infrastructure,Cloudflare Key Compromised,265000,Polygon,FALSE,DeFi Protocol,,127,,https://blog.kyberswap.com/post-mortem-past-kyberswap-frontend-exploit-sept-2022/,parent#kyberswap,,,,,
Skyward Finance,11/2/22,Protocol Logic,Reentrancy,3000000,Near,FALSE,DeFi Protocol,,,Rust,https://twitter.com/skywardfinance/status/1587947957789331457,,ChainSec,,1100000.0,Skyward Finance,2022-11-02
Exactly,8/18/23,Protocol Logic,DebtManager Exploit,7200000,Optimism,FALSE,DeFi Protocol,,2385,Solidity,https://twitter.com/DeDotFiSecurity/status/1692549866713407912,,,,,,
Upbit,11/26/25,Infrastructure,Private Key Compromised,36000000,Solana,FALSE,CEX,,,,https://x.com/layerggofficial/status/1993893233064333343,,,,,,
Popsicle Finance,8/3/21,Ecosystem,Flashloan Incentive Rewards Exploit,20000000,Ethereum,FALSE,DeFi Protocol,,585,Solidity,https://twitter.com/Mudit__Gupta/status/1422797923037814786?s=20&t=bZ-0VnJ8b4SQbx5PkaOGYg,,ChainSec,,,Popsicle Finance,2021-08-03
Qubit,1/28/22,Protocol Logic,Transfer Logic Exploit,80000000,BSC,TRUE,DeFi Protocol,,516,Solidity,https://medium.com/@QubitFin/protocol-exploit-report-305c34540fa3,,ChainSec,,80000000.0,Qubit,2022-01-28
Bald,8/2/23,Rugpull,Drained Liquidity Pool,23000000,Base,FALSE,DeFi Protocol,,,,https://x.com/PeckShieldAlert/status/1686225428649062400,,,,,,
Odin.Fun,8/12/25,Protocol Logic,Liquidity Manipulation Exploit,7000000,ICP,FALSE,DeFi Protocol,,,Motoko,https://uk.finance.yahoo.com/news/memecoin-launchpad-odin-fun-suffers-103510880.html,,,,,,
OcelotDex,9/20/24,Protocol Logic,Infinite Mint and Dump,4900000,Ethereum,FALSE,DeFi Protocol,,4095,Solidity,https://x.com/BlockscopeInc/status/1839049867987206329,,,,,,
Tectonic,2/22/24,Protocol Logic,Flashloan New Market Exploit,250000,Cronos,FALSE,DeFi Protocol,,1115,Solidity,https://cronoscan.com/tx/0x4c4584a57e5487a06e61c815c7ee368656ad58bd38774184eadcd97072dc1e4b,,,,,,
ApeRocket,7/14/21,Ecosystem,Flashloan Incentive Rewards Exploit,1260000,BSC,FALSE,DeFi Protocol,,401,,https://www.google.com/search?q=aperocketfi+hack&oq=aperocketfi+hack&aqs=chrome..69i57j33i10i160j33i21.3640j0j4&sourceid=chrome&ie=UTF-8,,,,,,
MonoX,11/30/21,Protocol Logic,Swap Function Exploit,31400000,"Ethereum,Polygon",FALSE,DeFi Protocol,,948,Solidity,https://twitter.com/BlockSecTeam/status/1465690478414761992,,ChainSec,,55000000.0,MonoX,2021-11-30
Hyperdrive HL,9/27/25,Protocol Logic,Router Exploit,773000,Hyperliquid L1,FALSE,DeFi Protocol,,6298,Solidity,https://x.com/PeckShieldAlert/status/1972119238178754651,,,,,,
Radiant V2,10/16/24,Protocol Logic,Access Control Exploit,53000000,"BSC,Arbitrum",FALSE,DeFi Protocol,,2706,Solidity,https://x.com/AnciliaInc/status/1846618258163761551,parent#radiant,,,,,
SBI Crypto,9/24/25,Infrastructure,,24000000,"Bitcoin,Ethereum,Litecoin,Doge,BitcoinCash",FALSE,Other,,,,https://www.coindesk.com/business/2025/10/01/sbi-crypto-reportedly-hit-by-usd21m-hack-with-suspected-dprk-links,,,,,,
Abracadabra Spell,10/4/25,Protocol Logic,Sequential State Manipulation Exploit,1700000,Ethereum,FALSE,DeFi Protocol,,347,Solidity,https://x.com/Phalcon_xyz/status/1974533451408986417,parent#abracadabra,,,,,
OlaXBT,9/1/25,Ecosystem,Multisig wallet Social Engineering Exploit,2000000,BSC,FALSE,DeFi Protocol,,,Solidity,https://x.com/CertiKAlert/status/1962439772280094975,,,,,,
EasyFi,4/19/21,Infrastructure,Private Key Compromised (Unknown Method),59000000,Polygon,FALSE,DeFi Protocol,,,,https://medium.com/easify-network/easyfi-security-incident-pre-post-mortem-33f2942016e9,,ChainSec,,80000000.0,EasyFi,2021-04-19
Binance Bridge,10/6/22,Protocol Logic,Proof Verifier Bug,570000000,BSC,TRUE,DeFi Protocol,,,,https://twitter.com/samczsun/status/1578167198203289600,,,,,,
Midas Capital,1/17/23,Ecosystem,Flashloan Reentrancy Attack,660000,Polygon,FALSE,DeFi Protocol,,1925,Solidity,https://rekt.news/midas-capital-rekt/,,,,,,
Dough Finance,7/12/24,Protocol Logic,Unvalidated call data exploit,1960000,Ethereum,FALSE,DeFi Protocol,,5109,Solidity,https://cointelegraph.com/news/dough-finance-loses-1-8m-flash-loan-attack,,,,,,
ParaSpace Lending V1,3/17/23,Protocol Logic,Borrow Logic Exploit,5000000,Ethereum,FALSE,NFTfi,5000000,2517,Solidity,https://twitter.com/BlockSecTeam/status/1636650252844294144?s=20,,,,,,
Solareum,3/29/24,Infrastructure,Private Key Compromised (Social Engineering),1400000,Solana,FALSE,DeFi Protocol,,,Move,,,,,,,
Kame Aggregator,9/12/25,Protocol Logic,swap() Function Flaw,1300000,Sei,FALSE,DeFi Protocol,,,,https://x.com/kame_agg/status/1967782820589568114,,,,,,
Cardex,2/18/25,Infrastructure,Private Key Compromised (Session signer),400000,Abstract,FALSE,DeFi Protocol,,,Solidity,https://x.com/0xCygaar/status/1891948692204368122,,,,,,
Munchables,3/26/24,Protocol Logic,Storage Slot Exploit,62500000,Blast,FALSE,Gaming,,4369,Solidity,https://twitter.com/_munchables_/status/1772739713687752761,,,,,,
Ronin Bridge,3/23/22,Infrastructure,Private Key Compromised (Social Engineering),624000000,Ethereum,TRUE,DeFi Protocol,,4440,,https://roninblockchain.substack.com/p/back-to-building-ronin-security-breach,,,,,,
Superfluid,2/8/22,Protocol Logic,CTX Exploit,8700000,Polygon,FALSE,DeFi Protocol,,693,Solidity,https://rekt.news/superfluid-rekt/,,,,,,
Earning.Farm,8/9/23,Protocol Logic,Reentrancy,540000,Ethereum,FALSE,DeFi Protocol,,,Solidity,https://twitter.com/CyversAlerts/status/1689193286420795393,,,,,,
Fortress Loans,5/8/22,Protocol Logic,Governance and Oracle Exploit,3000000,BSC,FALSE,DeFi Protocol,,2177,Solidity,https://rekt.news/fortress-rekt/,,,,,,
Corepound,9/23/25,Rugpull,Drained Contracts,430000,CORE,FALSE,DeFi Protocol,,5952,,https://x.com/coreecosystem/status/1970584860516651113,,,,,,
Venus Core Pool,3/29/25,Protocol Logic,Donation Attack,902000,zkSync Era,FALSE,DeFi Protocol,,212,Solidity,https://x.com/yonikesel/status/1905993100738134408,parent#venus-finance,,,,,
Lodestar V0,12/10/22,Ecosystem,Flashloan Price Oracle Attack,6900000,Arbitrum,FALSE,DeFi Protocol,,2339,Solidity,https://twitter.com/BowTiedPickle/status/1601650177369993216?s=20&t=lv-ruhz34Xz7S_fZVFZj7w,parent#lodestar-finance,,,,,
Ooki,11/5/21,Infrastructure,Private Key Compromised (Phishing),55000000,"Polygon,BSC",FALSE,DeFi Protocol,,197,,https://medium.com/tidal-finance/bzx-incident-report-e36828347a86,,,,,,
LiFi Finance,7/16/24,Protocol Logic,Router Exploit via Infinite Approvals,9730000,"zkSync Era,Linea,Metis",TRUE,DeFi Protocol,,,Solidity,https://x.com/RektHQ/status/1813329331105726812,,,,,,
Holograph,6/13/24,Protocol Logic,Infinite Mint and Dump,6700000,Ethereum,FALSE,DeFi Protocol,,,Solidity,https://www.coindesk.com/tech/2024/06/13/hlg-down-over-60-as-exploiter-mints-1-billion-new-tokens/,,,,,,
Growth DeFi,2/9/21,Ecosystem,Flashloan Price Oracle Attack,1300000,Ethereum,FALSE,DeFi Protocol,,159,Solidity,https://rekt.news/the-big-combo/,,,,,,
Loopscale,4/26/25,Protocol Logic,Price Oracle Manipulation,5800000,Solana,FALSE,DeFi Protocol,,,Rust,https://x.com/LoopscaleLabs/status/1916183179469246626,,,,,,
AlphaPo,7/26/23,Infrastructure,Private Key Compromised (Unknown Method),60000000,"Ethereum,Tron",FALSE,CEX,,,,https://rekt.news/alphapo-rekt/,,,,,,
Stake.com,9/4/23,Infrastructure,Private Key Compromised (Unknown Method),41300000,"Ethereum,BSC,Polygon",FALSE,Other,,,,https://twitter.com/web3isgreat/status/1698750534025441678,,,,,,
DeltaPrime,7/23/24,Protocol Logic,,1000000,Arbitrum,FALSE,DeFi Protocol,,2479,Solidity,https://x.com/DeltaPrimeDefi/status/1815536737206026346,,,,,,
Blizz Finance,5/13/22,Infrastructure,Outdated Oracle Exploit,21800000,Avalanche,FALSE,DeFi Protocol,,807,,https://rekt.news/venus-blizz-rekt/,,,,,,
BearnFi,5/17/21,Ecosystem,Flashloan Withdraw Logic Exploit,18000000,BSC,FALSE,DeFi Protocol,,387,,https://peckshield.medium.com/bearn-fi-incident-inconsistent-asset-denomination-between-vault-strategy-9b24b68ab1c0,,,,,,
GMBL.COMPUTER,9/6/23,Protocol Logic,Referral Claims Logic Exploit,815000,Arbitrum,FALSE,DeFi Protocol,,,,https://twitter.com/ImmuneBytes/status/1699338311230214536,,,,,,
GMX V1 Perps,9/18/22,Ecosystem,Price Oracle Attack,565000,Arbitrum,FALSE,DeFi Protocol,,337,Solidity,https://twitter.com/jayantkrish/status/1571893643178569728?s=20&t=O--bs-V1Xnkmzm2JZOdZsw,parent#gmx,,,,,
Grim Finance,12/18/21,Ecosystem,Flashloan Reentrancy Attack,30000000,Fantom,FALSE,DeFi Protocol,,493,Solidity,https://twitter.com/RugDocIO/status/1472293717725913089,,,,,,
Treasure,3/3/22,Protocol Logic,Buy Function Exploit,1400000,Arbitrum,FALSE,DeFi Protocol,,1350,Solidity,https://twitter.com/sniko_/status/1499202361180442627?s=20&t=PmAlFn3y2dhQSStkXyDCDA,,,,,,
Themis Protocol,6/27/23,Ecosystem,Flashloan Price Oracle Attack,370000,Arbitrum,FALSE,DeFi Protocol,,3158,Solidity,https://twitter.com/peckshield/status/1673778002373509121,,,,,,
Allbridge Core,4/2/23,Ecosystem,Flashloan Price Oracle Attack,650000,BSC,TRUE,DeFi Protocol,,3944,,https://allbridge.medium.com/allbridge-core-updates-following-the-relaunch-9f7716eeb5da,parent#allbridge,,,,,
Kronos Research,11/18/23,Infrastructure,API Key unauthorized access,26000000,Ethereum,FALSE,Other,,,,https://twitter.com/ResearchKronos/status/1726013733888041376,,,,,,
